Country Name,Series Name,2016 [YR2016],2017 [YR2017]
Burkina Faso,Government Effectiveness: Estimate,-0.637808084,-0.63903302
Burkina Faso,Regulatory Quality: Estimate,-0.447476685,-0.480564415
Burkina Faso,Control of Corruption: Estimate,-0.169851243,-0.138816744
Burkina Faso,Mobile cellular subscriptions (per 100 people),79.91513371,90.47440751
Burkina Faso,Fixed broadband subscriptions (per 100 people),0.0640501,0.062133
Burkina Faso,Fixed telephone subscriptions (per 100 people),0.392,0.382
Burundi,GNI per capita (constant 2015 US$),282.8168359,278.126333
Burundi,Rule of Law: Estimate,-1.484841824,-1.41499579
Burundi,Voice and Accountability: Estimate,-1.555478096,-1.575841904
Burundi,Political Stability and Absence of Violence/Terrorism: Estimate,-1.964375138,-2.002573967
Burundi,Government Effectiveness: Estimate,-1.483549237,-1.382489681
Burundi,Regulatory Quality: Estimate,-0.854655147,-0.871142566
Burundi,Control of Corruption: Estimate,-1.278321862,-1.31923759
Burundi,Mobile cellular subscriptions (per 100 people),49.13927197,53.073037
Burundi,Fixed broadband subscriptions (per 100 people),0.0288715,0.0340148
Burundi,Fixed telephone subscriptions (per 100 people),0.174,0.203
Cambodia,GNI per capita (constant 2015 US$),1170.176185,1236.66909
Cambodia,Rule of Law: Estimate,-1.080978751,-1.07539475
Cambodia,Voice and Accountability: Estimate,-1.105340958,-1.15467155
Cambodia,Political Stability and Absence of Violence/Terrorism: Estimate,0.20619081,0.093508989
Cambodia,Government Effectiveness: Estimate,-0.743826747,-0.696423292
Cambodia,Regulatory Quality: Estimate,-0.493561119,-0.521386206
Cambodia,Control of Corruption: Estimate,-1.301330924,-1.317361832
Cambodia,Mobile cellular subscriptions (per 100 people),127.4626128,117.3225889
Cambodia,Fixed broadband subscriptions (per 100 people),0.615923,0.831394
Cambodia,Fixed telephone subscriptions (per 100 people),1.43,0.827
Central African Republic,GNI per capita (constant 2015 US$),367.0691649,387.622583
Central African Republic,Rule of Law: Estimate,-1.850577712,-1.761831522
Central African Republic,Voice and Accountability: Estimate,-1.080355525,-1.106176853
Central African Republic,Political Stability and Absence of Violence/Terrorism: Estimate,-1.779548764,-1.993532181
Central African Republic,Government Effectiveness: Estimate,-1.806020021,-1.793202519
Central African Republic,Regulatory Quality: Estimate,-1.416793942,-1.500687957
Central African Republic,Control of Corruption: Estimate,-1.305346489,-1.200072527
Central African Republic,Mobile cellular subscriptions (per 100 people),25.45474491,23.52311236
Central African Republic,Fixed broadband subscriptions (per 100 people),0.0156142,0.0129133
Central African Republic,Fixed telephone subscriptions (per 100 people),0.0417,0.0439
Chad,GNI per capita (constant 2015 US$),689.5409352,650.4143967
Chad,Rule of Law: Estimate,-1.406829596,-1.321412563
Chad,Voice and Accountability: Estimate,-1.36274147,-1.371380925
Chad,Political Stability and Absence of Violence/Terrorism: Estimate,-1.301894188,-1.286392093
Chad,Government Effectiveness: Estimate,-1.55864954,-1.510803461
Chad,Regulatory Quality: Estimate,-1.181247473,-1.23040843
Chad,Control of Corruption: Estimate,-1.511605382,-1.458002687
Chad,Mobile cellular subscriptions (per 100 people),38.27772119,42.21562356
Chad,Fixed broadband subscriptions (per 100 people),0.0339141,0.0021187
Chad,Fixed telephone subscriptions (per 100 people),0.0882,0.0555
Comoros,GNI per capita (constant 2015 US$),1344.86306,1366.859479
Comoros,Rule of Law: Estimate,-1.047331333,-1.107463121
Comoros,Voice and Accountability: Estimate,-0.290625662,-0.335755855
Comoros,Political Stability and Absence of Violence/Terrorism: Estimate,0.022001922,0.022407399
Comoros,Government Effectiveness: Estimate,-1.677169204,-1.678573728
Comoros,Regulatory Quality: Estimate,-1.098677754,-1.104941845
Comoros,Control of Corruption: Estimate,-0.706209838,-0.71099925
Comoros,Mobile cellular subscriptions (per 100 people),60.89111697,61.56441686
Comoros,Fixed broadband subscriptions (per 100 people),0.220293,0.217268
Comoros,Fixed telephone subscriptions (per 100 people),1.76,2.27
Djibouti,GNI per capita (constant 2015 US$),2573.336595,2624.575192
Djibouti,Rule of Law: Estimate,-1.000653863,-0.93407172
Djibouti,Voice and Accountability: Estimate,-1.370621085,-1.406437516
Djibouti,Political Stability and Absence of Violence/Terrorism: Estimate,-0.628553987,-0.733945012
Djibouti,Government Effectiveness: Estimate,-1.039362907,-1.087286115
Djibouti,Regulatory Quality: Estimate,-0.749578178,-0.690780044
Djibouti,Control of Corruption: Estimate,-0.689300656,-0.671873569
Djibouti,Mobile cellular subscriptions (per 100 people),33.73974603,35.86235007
Djibouti,Fixed broadband subscriptions (per 100 people),2.33941,2.3121
Djibouti,Fixed telephone subscriptions (per 100 people),2.4,3.47
Eritrea,GNI per capita (constant 2015 US$),..,..
Eritrea,Rule of Law: Estimate,-1.662489295,-1.598842502
Eritrea,Voice and Accountability: Estimate,-2.170275927,-2.166185856
Eritrea,Political Stability and Absence of Violence/Terrorism: Estimate,-0.662282407,-0.733444393
Eritrea,Government Effectiveness: Estimate,-1.780414701,-1.799359441
Eritrea,Regulatory Quality: Estimate,-2.110893965,-2.182853937
Eritrea,Control of Corruption: Estimate,-1.343778849,-1.232174397
Eritrea,Mobile cellular subscriptions (per 100 people),15.03586023,20.45963226
Eritrea,Fixed broadband subscriptions (per 100 people),0.0192019,0.0317425
Eritrea,Fixed telephone subscriptions (per 100 people),2.11,2.1
Ethiopia,GNI per capita (constant 2015 US$),669.0269753,711.4603578
Ethiopia,Rule of Law: Estimate,-0.50812608,-0.471185684
Ethiopia,Voice and Accountability: Estimate,-1.402380109,-1.432525396
Ethiopia,Political Stability and Absence of Violence/Terrorism: Estimate,-1.617245197,-1.677229643
Ethiopia,Government Effectiveness: Estimate,-0.713305473,-0.760963619
Ethiopia,Regulatory Quality: Estimate,-1.109604597,-1.032468319
Ethiopia,Control of Corruption: Estimate,-0.442177504,-0.582520843
Ethiopia,Mobile cellular subscriptions (per 100 people),48.64890266,36.59958437
Ethiopia,Fixed broadband subscriptions (per 100 people),0.52381,0.0574013
Ethiopia,Fixed telephone subscriptions (per 100 people),1.07,1.08
"Gambia, The",GNI per capita (constant 2015 US$),594.7129266,606.9373815
"Gambia, The",Rule of Law: Estimate,-0.79889518,-0.455021232
"Gambia, The",Voice and Accountability: Estimate,-1.260490179,-0.622010767
"Gambia, The",Political Stability and Absence of Violence/Terrorism: Estimate,-0.442044199,-0.094831444
"Gambia, The",Government Effectiveness: Estimate,-0.936807752,-0.745486438
"Gambia, The",Regulatory Quality: Estimate,-0.581205726,-0.511013925
"Gambia, The",Control of Corruption: Estimate,-0.850145161,-0.65736568
"Gambia, The",Mobile cellular subscriptions (per 100 people),122.480565,124.5599874
"Gambia, The",Fixed broadband subscriptions (per 100 people),0.164202,0.17078
"Gambia, The",Fixed telephone subscriptions (per 100 people),1.66,1.37
Guinea,GNI per capita (constant 2015 US$),802.6987966,874.3338056
Guinea,Rule of Law: Estimate,-1.243085742,-1.254833937
Guinea,Voice and Accountability: Estimate,-0.760865033,-0.73942852
Guinea,Political Stability and Absence of Violence/Terrorism: Estimate,-0.396070927,-0.69907409
Guinea,Government Effectiveness: Estimate,-1.064882994,-1.08643198
Guinea,Regulatory Quality: Estimate,-0.888324559,-0.866547704
Guinea,Control of Corruption: Estimate,-0.946540415,-1.038001418
Guinea,Mobile cellular subscriptions (per 100 people),93.11888331,95.58208181
Guinea,Fixed broadband subscriptions (per 100 people),0.00911122,0.00909923
Guinea,Fixed telephone subscriptions (per 100 people),0,0
Guinea-Bissau,GNI per capita (constant 2015 US$),670.8478131,683.3734454
Guinea-Bissau,Rule of Law: Estimate,-1.537045121,-1.471865296
Guinea-Bissau,Voice and Accountability: Estimate,-0.733713031,-0.79739213
Guinea-Bissau,Political Stability and Absence of Violence/Terrorism: Estimate,-0.445275575,-0.497683495
Guinea-Bissau,Government Effectiveness: Estimate,-1.706976295,-1.807464123
Guinea-Bissau,Regulatory Quality: Estimate,-1.245133281,-1.224064589
Guinea-Bissau,Control of Corruption: Estimate,-1.586325645,-1.597468257
Guinea-Bissau,Mobile cellular subscriptions (per 100 people),70.0898639,76.32738349
Guinea-Bissau,Fixed broadband subscriptions (per 100 people),0.0483653,0.0454431
Guinea-Bissau,Fixed telephone subscriptions (per 100 people),0,0
Haiti,GNI per capita (constant 2015 US$),1416.180039,1432.527316
Haiti,Rule of Law: Estimate,-1.013668776,-1.09687674
Haiti,Voice and Accountability: Estimate,-0.759351909,-0.736969054
Haiti,Political Stability and Absence of Violence/Terrorism: Estimate,-0.745547473,-0.676077306
Haiti,Government Effectiveness: Estimate,-2.170480728,-2.130574226
Haiti,Regulatory Quality: Estimate,-1.258485794,-1.353159189
Haiti,Control of Corruption: Estimate,-1.354178548,-1.259292126
Haiti,Mobile cellular subscriptions (per 100 people),60.7065734,58.04608514
Haiti,Fixed broadband subscriptions (per 100 people),0.0126318,0.276397
Haiti,Fixed telephone subscriptions (per 100 people),0.0533,0.0547
Kiribati,GNI per capita (constant 2015 US$),..,..
Kiribati,Rule of Law: Estimate,0.298903853,0.600542307
Kiribati,Voice and Accountability: Estimate,1.004910588,1.047766685
Kiribati,Political Stability and Absence of Violence/Terrorism: Estimate,0.846926332,0.855434954
Kiribati,Government Effectiveness: Estimate,-0.299741596,-0.06213117
Kiribati,Regulatory Quality: Estimate,-0.815027714,-0.815004408
Kiribati,Control of Corruption: Estimate,0.290254235,0.417874157
Kiribati,Mobile cellular subscriptions (per 100 people),43.87704302,38.32023396
Kiribati,Fixed broadband subscriptions (per 100 people),0.0928442,0.0922885
Kiribati,Fixed telephone subscriptions (per 100 people),0.735,0.636
Lao PDR,GNI per capita (constant 2015 US$),2138.334403,..
Lao PDR,Rule of Law: Estimate,-0.811310947,-0.90471828
Lao PDR,Voice and Accountability: Estimate,-1.759131193,-1.75141418
Lao PDR,Political Stability and Absence of Violence/Terrorism: Estimate,0.524906516,0.394011855
Lao PDR,Government Effectiveness: Estimate,-0.432825565,-0.416994154
Lao PDR,Regulatory Quality: Estimate,-0.756473005,-0.751458883
Lao PDR,Control of Corruption: Estimate,-0.986315608,-0.967064977
Lao PDR,Mobile cellular subscriptions (per 100 people),57.44162039,53.04168369
Lao PDR,Fixed broadband subscriptions (per 100 people),0.353549,0.387809
Lao PDR,Fixed telephone subscriptions (per 100 people),18.3,16
Lesotho,GNI per capita (constant 2015 US$),1290.250919,1229.094273
Lesotho,Rule of Law: Estimate,-0.186165527,-0.299606234
Lesotho,Voice and Accountability: Estimate,-0.012902796,-0.008935785
Lesotho,Political Stability and Absence of Violence/Terrorism: Estimate,-0.244855866,-0.194125235
Lesotho,Government Effectiveness: Estimate,-0.878006041,-0.925521493
Lesotho,Regulatory Quality: Estimate,-0.459403545,-0.382606447
Lesotho,Control of Corruption: Estimate,-0.051930126,-0.058279932
Lesotho,Mobile cellular subscriptions (per 100 people),106.485695,109.6832836
Lesotho,Fixed broadband subscriptions (per 100 people),0.104674,0.223493
Lesotho,Fixed telephone subscriptions (per 100 people),1.93,0.493
Liberia,GNI per capita (constant 2015 US$),..,..
Liberia,Rule of Law: Estimate,-0.966556847,-0.97061491
Liberia,Voice and Accountability: Estimate,-0.106433168,0.042723432
Liberia,Political Stability and Absence of Violence/Terrorism: Estimate,-0.441768199,-0.320534796
Liberia,Government Effectiveness: Estimate,-1.315434337,-1.365272641
Liberia,Regulatory Quality: Estimate,-0.976915777,-0.983210862
Liberia,Control of Corruption: Estimate,-0.742775202,-0.687493205
Liberia,Mobile cellular subscriptions (per 100 people),66.23325736,55.45558956
Liberia,Fixed broadband subscriptions (per 100 people),0.168222,0.185608
Liberia,Fixed telephone subscriptions (per 100 people),0.168,..
Madagascar,GNI per capita (constant 2015 US$),442.7159214,453.2425219
Madagascar,Rule of Law: Estimate,-0.832802236,-0.878510773
Madagascar,Voice and Accountability: Estimate,-0.316467643,-0.345090419
Madagascar,Political Stability and Absence of Violence/Terrorism: Estimate,-0.294186473,-0.30283758
Madagascar,Government Effectiveness: Estimate,-1.227900624,-1.195470214
Madagascar,Regulatory Quality: Estimate,-0.735103726,-0.737336755
Madagascar,Control of Corruption: Estimate,-0.934489012,-1.074516296
Madagascar,Mobile cellular subscriptions (per 100 people),31.36331074,33.36129841
Madagascar,Fixed broadband subscriptions (per 100 people),0.101092,0.0935555
Madagascar,Fixed telephone subscriptions (per 100 people),0.569,0.257
Mali,GNI per capita (constant 2015 US$),721.3091758,731.9551873
Mali,Rule of Law: Estimate,-0.798813403,-0.793805599
Mali,Voice and Accountability: Estimate,-0.182319134,-0.211932972
Mali,Political Stability and Absence of Violence/Terrorism: Estimate,-1.612848759,-1.903490663
Mali,Government Effectiveness: Estimate,-1.026530385,-0.964599192
Mali,Regulatory Quality: Estimate,-0.639129579,-0.616949379
Mali,Control of Corruption: Estimate,-0.677368283,-0.6660133
Mali,Mobile cellular subscriptions (per 100 people),108.1154139,114.0992437
Mali,Fixed broadband subscriptions (per 100 people),0.111738,0.0777267
Mali,Fixed telephone subscriptions (per 100 people),1.05,1.08
Malawi,GNI per capita (constant 2015 US$),..,..
Malawi,Rule of Law: Estimate,-0.394623488,-0.394216031
Malawi,Voice and Accountability: Estimate,-0.030078597,-0.030692024
Malawi,Political Stability and Absence of Violence/Terrorism: Estimate,-0.116127513,-0.249828547
Malawi,Government Effectiveness: Estimate,-0.795228839,-0.726111114
Malawi,Regulatory Quality: Estimate,-0.881440103,-0.791547
Malawi,Control of Corruption: Estimate,-0.784189403,-0.68725425
Malawi,Mobile cellular subscriptions (per 100 people),41.24175037,43.46753766
Malawi,Fixed broadband subscriptions (per 100 people),0.0495052,0.0599566
Malawi,Fixed telephone subscriptions (per 100 people),0.064,0.0961
Mozambique,GNI per capita (constant 2015 US$),600.9383577,591.6294065
Mozambique,Rule of Law: Estimate,-1.074712157,-1.008332849
Mozambique,Voice and Accountability: Estimate,-0.416637808,-0.419679195
Mozambique,Political Stability and Absence of Violence/Terrorism: Estimate,-1.096814632,-0.917248428
Mozambique,Government Effectiveness: Estimate,-0.945310771,-0.95836705
Mozambique,Regulatory Quality: Estimate,-0.749054015,-0.772097945
Mozambique,Control of Corruption: Estimate,-0.902694941,-0.85798502
Mozambique,Mobile cellular subscriptions (per 100 people),54.25090462,41.56716262
Mozambique,Fixed broadband subscriptions (per 100 people),0.170461,0.218846
Mozambique,Fixed telephone subscriptions (per 100 people),0.301,0.286
Myanmar,GNI per capita (constant 2015 US$),..,..
Myanmar,Rule of Law: Estimate,-0.900859356,-0.959706306
Myanmar,Voice and Accountability: Estimate,-0.796729267,-0.864633381
Myanmar,Political Stability and Absence of Violence/Terrorism: Estimate,-0.808124959,-1.084094286
Myanmar,Government Effectiveness: Estimate,-1.011635542,-1.087967515
Myanmar,Regulatory Quality: Estimate,-0.872649312,-0.841920257
Myanmar,Control of Corruption: Estimate,-0.641805828,-0.590761244
Myanmar,Mobile cellular subscriptions (per 100 people),97.48338233,91.69666523
Myanmar,Fixed broadband subscriptions (per 100 people),0.174162,0.214986
Myanmar,Fixed telephone subscriptions (per 100 people),0.999,1.07
Nepal,GNI per capita (constant 2015 US$),889.4771128,956.1383911
Nepal,Rule of Law: Estimate,-0.810879767,-0.694215536
Nepal,Voice and Accountability: Estimate,-0.251382679,-0.19951579
Nepal,Political Stability and Absence of Violence/Terrorism: Estimate,-0.846989989,-0.5841012
Nepal,Government Effectiveness: Estimate,-0.894321322,-0.942965806
Nepal,Regulatory Quality: Estimate,-0.789327502,-0.740814745
Nepal,Control of Corruption: Estimate,-0.826682508,-0.776277244
Nepal,Mobile cellular subscriptions (per 100 people),115.2869264,128.0766788
Nepal,Fixed broadband subscriptions (per 100 people),0.801933,1.79644
Nepal,Fixed telephone subscriptions (per 100 people),3.07,3.07
Niger,GNI per capita (constant 2015 US$),505.3772157,512.8803166
Niger,Rule of Law: Estimate,-0.685213208,-0.70625025
Niger,Voice and Accountability: Estimate,-0.421779066,-0.430217505
Niger,Political Stability and Absence of Violence/Terrorism: Estimate,-1.10075748,-1.259505153
Niger,Government Effectiveness: Estimate,-0.693657756,-0.754891455
Niger,Regulatory Quality: Estimate,-0.720742762,-0.726772189
Niger,Control of Corruption: Estimate,-0.666101396,-0.688091576
Niger,Mobile cellular subscriptions (per 100 people),35.71309522,40.38511133
Niger,Fixed broadband subscriptions (per 100 people),0.0372575,0.0403537
Niger,Fixed telephone subscriptions (per 100 people),0.778,0.533
Rwanda,GNI per capita (constant 2015 US$),738.2100261,744.9464074
Rwanda,Rule of Law: Estimate,0.096975163,0.116847567
Rwanda,Voice and Accountability: Estimate,-1.154162645,-1.120504379
Rwanda,Political Stability and Absence of Violence/Terrorism: Estimate,-0.066518664,0.078270361
Rwanda,Government Effectiveness: Estimate,0.013704088,0.178770423
Rwanda,Regulatory Quality: Estimate,0.011626933,0.08438345
Rwanda,Control of Corruption: Estimate,0.618455648,0.607264578
Rwanda,Mobile cellular subscriptions (per 100 people),74.77669748,72.10934219
Rwanda,Fixed broadband subscriptions (per 100 people),0.182236,0.178494
Rwanda,Fixed telephone subscriptions (per 100 people),0.112,0.101
Sao Tome and Principe,GNI per capita (constant 2015 US$),..,..
Sao Tome and Principe,Rule of Law: Estimate,-0.687102139,-0.726939261
Sao Tome and Principe,Voice and Accountability: Estimate,0.36150983,0.298387945
Sao Tome and Principe,Political Stability and Absence of Violence/Terrorism: Estimate,0.215979159,0.183460847
Sao Tome and Principe,Government Effectiveness: Estimate,-0.777394295,-0.8470487
Sao Tome and Principe,Regulatory Quality: Estimate,-0.870378137,-0.894111037
Sao Tome and Principe,Control of Corruption: Estimate,-0.083296224,0.152436048
Sao Tome and Principe,Mobile cellular subscriptions (per 100 people),87.00838579,83.62158473
Sao Tome and Principe,Fixed broadband subscriptions (per 100 people),0.699596,0.714596
Sao Tome and Principe,Fixed telephone subscriptions (per 100 people),2.81,2.69
Senegal,GNI per capita (constant 2015 US$),1247.266451,1301.227556
Senegal,Rule of Law: Estimate,-0.122207463,-0.169250667
Senegal,Voice and Accountability: Estimate,0.369677246,0.317168027
Senegal,Political Stability and Absence of Violence/Terrorism: Estimate,-0.22595489,-0.055723127
Senegal,Government Effectiveness: Estimate,-0.502166569,-0.365349919
Senegal,Regulatory Quality: Estimate,-0.210808367,-0.193443179
Senegal,Control of Corruption: Estimate,-0.024389485,-0.114238143
Senegal,Mobile cellular subscriptions (per 100 people),102.9497559,103.9621401
Senegal,Fixed broadband subscriptions (per 100 people),0.654181,0.722423
Senegal,Fixed telephone subscriptions (per 100 people),1.9,1.88
Sierra Leone,GNI per capita (constant 2015 US$),598.3727186,600.813629
Sierra Leone,Rule of Law: Estimate,-0.802384138,-0.807308137
Sierra Leone,Voice and Accountability: Estimate,-0.198110342,-0.194167793
Sierra Leone,Political Stability and Absence of Violence/Terrorism: Estimate,-0.167113155,-0.039427098
Sierra Leone,Government Effectiveness: Estimate,-1.224290252,-1.221212745
Sierra Leone,Regulatory Quality: Estimate,-0.948930025,-0.952105999
Sierra Leone,Control of Corruption: Estimate,-0.841146886,-0.590534508
Sierra Leone,Mobile cellular subscriptions (per 100 people),83.79160527,86.29036859
Sierra Leone,Fixed broadband subscriptions (per 100 people),..,..
Sierra Leone,Fixed telephone subscriptions (per 100 people),0.236,0.23
Solomon Islands,GNI per capita (constant 2015 US$),2130.542395,2166.601875
Solomon Islands,Rule of Law: Estimate,-0.30101788,-0.190316245
Solomon Islands,Voice and Accountability: Estimate,0.46746549,0.489998966
Solomon Islands,Political Stability and Absence of Violence/Terrorism: Estimate,0.491754383,0.188087985
Solomon Islands,Government Effectiveness: Estimate,-0.927770734,-0.928836346
Solomon Islands,Regulatory Quality: Estimate,-0.97360158,-0.815379918
Solomon Islands,Control of Corruption: Estimate,-0.355936557,0.095240965
Solomon Islands,Mobile cellular subscriptions (per 100 people),66.32234892,72.29745476
Solomon Islands,Fixed broadband subscriptions (per 100 people),0.247441,0.170052
Solomon Islands,Fixed telephone subscriptions (per 100 people),1.12,1.08
Somalia,GNI per capita (constant 2015 US$),..,..
Somalia,Rule of Law: Estimate,-2.316461563,-2.263080597
Somalia,Voice and Accountability: Estimate,-1.909665942,-1.778314114
Somalia,Political Stability and Absence of Violence/Terrorism: Estimate,-2.347157955,-2.249909878
Somalia,Government Effectiveness: Estimate,-2.206104279,-2.258919239
Somalia,Regulatory Quality: Estimate,-2.184588909,-2.201314449
Somalia,Control of Corruption: Estimate,-1.690856099,-1.70943439
Somalia,Mobile cellular subscriptions (per 100 people),46.54803903,47.89352903
Somalia,Fixed broadband subscriptions (per 100 people),0.641171,0.656985
Somalia,Fixed telephone subscriptions (per 100 people),0.335,..
South Sudan,GNI per capita (constant 2015 US$),..,..
South Sudan,Rule of Law: Estimate,-1.976793885,-1.97194159
South Sudan,Voice and Accountability: Estimate,-1.798077345,-1.823847532
South Sudan,Political Stability and Absence of Violence/Terrorism: Estimate,-2.412496805,-2.446235657
South Sudan,Government Effectiveness: Estimate,-2.336033821,-2.439962626
South Sudan,Regulatory Quality: Estimate,-1.804660559,-1.94608295
South Sudan,Control of Corruption: Estimate,-1.759067893,-1.75134778
South Sudan,Mobile cellular subscriptions (per 100 people),24.39882868,26.16695311
South Sudan,Fixed broadband subscriptions (per 100 people),0.00138503,0.00194948
South Sudan,Fixed telephone subscriptions (per 100 people),0,0
Sudan,GNI per capita (constant 2015 US$),..,..
Sudan,Rule of Law: Estimate,-1.282137632,-1.125489712
Sudan,Voice and Accountability: Estimate,-1.83413589,-1.839118361
Sudan,Political Stability and Absence of Violence/Terrorism: Estimate,-2.331105709,-1.971524239
Sudan,Government Effectiveness: Estimate,-1.558816433,-1.476141453
Sudan,Regulatory Quality: Estimate,-1.486272931,-1.58541584
Sudan,Control of Corruption: Estimate,-1.560569406,-1.560215473
Sudan,Mobile cellular subscriptions (per 100 people),70.61780648,70.41361876
Sudan,Fixed broadband subscriptions (per 100 people),0.0639265,0.0715194
Sudan,Fixed telephone subscriptions (per 100 people),0.331,0.335
Togo,GNI per capita (constant 2015 US$),788.5202462,795.0471863
Togo,Rule of Law: Estimate,-0.652705848,-0.732762277
Togo,Voice and Accountability: Estimate,-0.545297205,-0.624594212
Togo,Political Stability and Absence of Violence/Terrorism: Estimate,-0.175117105,-0.874444485
Togo,Government Effectiveness: Estimate,-1.118214726,-1.166029096
Togo,Regulatory Quality: Estimate,-0.834297657,-0.833923459
Togo,Control of Corruption: Estimate,-0.707865596,-0.736028314
Togo,Mobile cellular subscriptions (per 100 people),71.85967389,77.29610922
Togo,Fixed broadband subscriptions (per 100 people),0.620529,0.627394
Togo,Fixed telephone subscriptions (per 100 people),0.43,0.448
Timor-Leste,GNI per capita (constant 2015 US$),1827.359325,1827.554808
Timor-Leste,Rule of Law: Estimate,-1.175579429,-1.176247716
Timor-Leste,Voice and Accountability: Estimate,0.220837563,0.343246967
Timor-Leste,Political Stability and Absence of Violence/Terrorism: Estimate,-0.017668042,0.06638208
Timor-Leste,Government Effectiveness: Estimate,-1.040115595,-1.003521681
Timor-Leste,Regulatory Quality: Estimate,-0.993600726,-0.746640623
Timor-Leste,Control of Corruption: Estimate,-0.537286937,-0.566189468
Timor-Leste,Mobile cellular subscriptions (per 100 people),121.8496083,125.2075432
Timor-Leste,Fixed broadband subscriptions (per 100 people),0.054060146,0.267316
Timor-Leste,Fixed telephone subscriptions (per 100 people),0.207,0.19
Tuvalu,GNI per capita (constant 2015 US$),..,..
Tuvalu,Rule of Law: Estimate,0.558649242,0.63725251
Tuvalu,Voice and Accountability: Estimate,1.081801653,1.0805583
Tuvalu,Political Stability and Absence of Violence/Terrorism: Estimate,1.382750273,1.213737011
Tuvalu,Government Effectiveness: Estimate,-0.92127496,-0.694827735
Tuvalu,Regulatory Quality: Estimate,-0.571276486,-0.778954983
Tuvalu,Control of Corruption: Estimate,0.055439107,0.069424003
Tuvalu,Mobile cellular subscriptions (per 100 people),70.03317361,73.88252678
Tuvalu,Fixed broadband subscriptions (per 100 people),4.11711,4.14022
Tuvalu,Fixed telephone subscriptions (per 100 people),18.3,18.4
