,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,source_is_th,destination_is_th
76,77,Sep 2018,#315214,Fugro,Fugro,"Fugro collects, processes, and interprets geological data. The company collects data at sea, on land, and from the air of land areas and the sea bed. The data is used in building offshore oil platforms, tunnels, roads, pipelines, factories, and communications cables, and to explore oil, gas, and minerals. The company was founded in 1962 and is headquartered in Leidschendam, the Netherlands.",www.fugro.com,990.0,0.0,,1962.0,holding@fugro.com,+31703111422,Western Europe,netherlands,West Netherlands,Zuid-Holland,Leidschendam,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Architectural, engineering, & related services",Industrial,Business Services,108,Yes,12.3,Yes,New,Opened,,,,http://today.thefinancialexpress.com.bd/print/fugro-opens-new-branch-office-in-bd-1537897280,True,False,False,business_services_architectural_engineering_and_related_services_business_services,False,False,True,False
81,82,Sep 2018,#313189,Modern Energy Management,Modern Energy Management,"Modern Energy Management delivers project lifecycle certainty to renewable energy financiers, developers, operators and investors working in rapidly expanding emerging markets. Its team of engineers and project managers develop, construct and deliver complex, profitable projects in remote, rapidly expanding international markets. The firm was founded in 2013 and is based in Singapore.",modernenergy.co.th,,,,2013.0,,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Renewable energy,Solar electric power,Environmental Technology,Electricity,31,Yes,168.3,Yes,New,Announced,,,,https://renewablesnow.com/news/modern-energy-management-to-take-part-in-130-mwp-pv-project-in-myanmar-625552/,False,True,False,renewable_energy_solar_electric_power_electricity,False,False,True,False
82,83,Sep 2018,#314928,Bioengineering AG,Bioengineering AG,"Bioengineering AG designs and manufactures production plants. It offers bioengineering products for amino acids, antibiotics, biomass (probiotics and starter cultures), bio-pesticides, biopolymers and lipids, enzymes, ethanol, flavors and fragrances, fruit juices, monoclonal antibodies, organic acids, peptides/proteins (blood factors, hormones, and growth factors), sugar derivates, vaccines, and vitamins. The company also provides bioequipment, including bioreactors and fermenters, up- and downstream equipment, probes/measuring systems, sampling and harvesting systems, agitation systems, aeration and exhaust systems, vessel accessories, pumps for sterile applications, components for sterile lines, fermenter accessories, and powder handling/mixing systems. It also designs and implements measurement and control engineering solutions for biologics, back up, and data logging and processing, as well as process analysis, management, optimization, and supervision applications. Bioengineering AG was founded in 1972 and is based in Wald, Switzerland.",bioengineering.ch,20.6166,0.0,,1972.0,info@bioengineering.ch,+41552568111,Western Europe,switzerland,Switzerland,Zurich,Waldenburg,Asia-Pacific,bangladesh,Dhaka,Not Specified,Not Specified,,,Industrial equipment,General purpose machinery,Life sciences,Manufacturing,204,Yes,25.3,Yes,New,Opened,,,"AMS Technologies , Bioengineering AG, Incepta Pharmaceuticals",https://www.thedailystar.net/business/news/plant-opens-savar-make-pharma-equipment-1640572,True,False,False,industrial_equipment_general_purpose_machinery_manufacturing,False,False,True,False
92,93,Sep 2018,#317926,Caribbean Development Bank,Caribbean Development Bank,"Caribbean Development Bank operates as a multilateral financial institution. The company provides project loans and technical assistance to governments, public agencies, and other entities in borrowing member countries. Caribbean Development Bank was founded in 1969 and is headquartered in Saint Michael, Barbados.",www.caribank.org,,,,1969.0,,+2464311600,Latin America & Caribbean,barbados,Saint Michael,Not Specified,Not Specified,Latin America & Caribbean,haiti,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,29,Yes,33.3,Yes,New,Opened,,,,https://www.caribbeannewsnow.com/2018/09/23/cdb-officially-opens-office-in-haiti/,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,True,False
97,98,Sep 2018,#353214,VFS Global,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,3456.82,0.0,,1906.0,customercare@vfsglobal.com,+97142567077,Western Europe,switzerland,Switzerland,Zurich,Zurich,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Business services,Other support services,Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,,,,https://www.vfsglobal.com/en/PDF/media-releases/2019/Kigali.pdf,True,False,False,business_services_other_support_services_business_services,False,False,True,False
99,100,Aug 2018,#352710,BIA Burkina,BIA Group,"BIA Group provides advice and support for clients in their mining, quarrying, forestry, public works and transport projects. BIA Group offers a range of equipment and accessories from manufacturers such as Komatsu, Sandvik, Bomag, Foton and Cummins. The company is based in Ebene, Mauritius.",www.biagroup.com/afr-en/,,,,,,,Africa,mauritius,Mauritius,Not Specified,Ebene,Africa,burkina_faso,Hauts-Bassins,Not Specified,Bobo-Dioulasso,,,Industrial equipment,"Agriculture, construction, & mining machinery",Industrial,"Sales, Marketing & Support",12,Yes,2.9,Yes,New,Opened,,,,https://www.biagroup.com/afr-en/news/bia-burkina-inaugurates-its-new-headquarters-in-ouagadougou/,False,True,False,industrial_equipment_agriculture_construction_and_mining_machinery_sales_marketing_and_support,False,False,True,False
102,103,Aug 2018,#311207,Cervejas de MoCambique,Anheuser-Busch InBev (AB InBev),"Anheuser-Busch InBev, also known as Ab InBev, is a brewing company. It engages in the production, marketing, and distribution of beer in Latin America, North America, Europe and Asia-Pacific. It offers a portfolio of approximately 200 beer brands. The company's global brands include Budweiser, Stella Artois, and Beck's; multi-country brands consist of Leffe and Hoegaarden; and local brands comprise Bud Light, Michelob, Skol, Brahma, Antarctica, Quilmes, Jupiler, Hasseroder, Klinskoye, Sibirskaya Korona, Chernigivske, Harbin and Sedrin. Established in 1366, the company is headquartered in Leuven, Belgium.",www.ab-inbev.com,54300.0,169340.0,,1366.0,souCDM@mz.ab-inbev.com,+25821352300,Western Europe,belgium,Flemish Region (Flanders),Flemish Brabant,Leuven,Africa,mozambique,Maputo,Not Specified,Marracuene,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,200,No,180.0,No,New,Opened,"""The facility will also help AB InBev keep pace with demand in a market that saw growth over more than 20% in the first half of this year,"" said Ricardo Tadeu, president of the African zone.",Africa,,https://www.hospitalityireland.com/drinks/ab-inbev-opens-brewery-plant-in-mozambique-127647,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,True,False
111,112,Aug 2018,#313175,ASEAN Legal Alliance (ALA),ASEAN Legal Alliance (ALA),The ASEAN Legal Alliance (ALA) was formed to bring together law firms from each of the 10 member states to provide a truly ASEAN wide legal network. The firm is ASEAN focused on helping its clients to navigate the ASEAN legal landscape. The firm was founded in 2014 and is based in Singapore.,aseanlegalalliance.net/,,,,2014.0,contact@aseanlegalalliance.net,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,Legal services,Professional Services,Business Services,11,Yes,12.3,Yes,New,Opened,,,,https://www.legalbusinessonline.com/news/asean-legal-alliance-sets-representative-office-myanmar/76137,False,True,False,business_services_legal_services_business_services,False,False,True,False
138,139,Jul 2018,#309463,VFS Global,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,3456.82,0.0,,1906.0,customercare@vfsglobal.com,+97142567077,Western Europe,switzerland,Switzerland,Zurich,Zurich,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,Other support services,Professional Services,Business Services,11,Yes,12.3,Yes,New,Opened,,,,https://scandasia.com/swedish-visa-application-center-opened-in-yangon/,True,False,False,business_services_other_support_services_business_services,False,False,True,False
154,155,Jul 2018,#311168,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,burundi,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,,,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,True,False
155,156,Jul 2018,#311166,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,"Ruedie Reisdorf, chief executive officer, said, ""Rwanda is a landlocked country with people that are hardworking, politically stable. These gave us reason to start our operations in Africa. This is why we have chosen Rwanda as our first place to develop the African continent"".",East Africa,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,True,False
156,157,Jul 2018,#311185,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,democratic_republic_of_congo,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,,,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,True,False
157,158,Jul 2018,#311187,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,,,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,True,False
158,159,Jul 2018,#311189,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,zambia,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,,,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,True,False
164,165,Jul 2018,#309049,DragonEx,DragonEx,DragonEx is a cryptocurrency exchange platform. The firm was founded in 2017 and is based in Singapore.,dragonex.io/,,,,2017.0,service@DragonEx.io,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Announced,,,,https://www.prnewswire.com/news-releases/most-user-friendly-cryptocurrency-exchanges-dragonex-launched-global-operation-center-in-thailand-300673590.html,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,True,False
167,168,Jun 2018,#281937,CrimsonLogic,CrimsonLogic,"CrimsonLogic designs and builds e-government solutions for governments in Asia, the Middle East, Africa and the Americas. It offers services that provide real-time company and business information and deliver search, retrieval, and information transfer functions. The company also provides a legal portal that enables content providers to provide online access to a repository. The company was founded in 1988 and is based in Singapore. CrimsonLogic was formerly known as Singapore Network Services and changed its name in August 2002. In February 2018, PSA International raised its shareholding in CrimsonLogic from 15% to 45%. The remaining 55% was held by Enterprise Singapore, formerly IE Singapore. On 8 August 2018, PSA International Pte Ltd, an existing shareholder of CrimsonLogic acquired majority control through an additional subscription of shares and share purchase from Enterprise Singapore Holdings. With the completion of the transaction, PSA now holds 70% of CrimsonLogic, with Enterprise Singapore Holdings retaining 30% of shares. Enterprise Singapore Holdings is a 100% wholly-owned subsidiary of Enterprise Singapore.",www.crimsonlogic.com,,,,1988.0,sales@crimsonlogic.com,+6568877888,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Software & IT services,Custom computer programming services,ICT & Electronics,Business Services,87,Yes,7.9,Yes,New,Opened,"Eugene Wong, chairman, CrimsonLogic, said: ""Rwanda has an investment-friendly environment for Singapore companies and is also a very clean city. The country welcomes Singapore companies as they trust us to bring both innovation and quality in partnerships towards building their digital economy.""","Africa,  especially for East Africa",,https://webapp-corpsite-static1.azurewebsites.net/Documents/pdf/newsAndEvents/media/CrimsonLogic_Rwanda.pdf,False,True,False,software_and_it_services_custom_computer_programming_services_business_services,False,False,True,False
173,174,Jun 2018,#307618,International Workplace Group (Regus),International Workplace Group (Regus),"International Workplace Group (IWG), together with its subsidiaries, provides office outsourcing services. IWG offers its services to property owners and investors, franchisees, brokers, and customers under the Regus, Regus Express, Spaces, Signature, and Open Office brands. Effective October 14, 2008, Regus Group plc became Regus plc. Regus plc was created as a holding company for Regus Group plc, to establish the company's headquarters in Luxembourg, relocating from the UK. The company was formerly known as Regus before rebranding to IWG in December 2016. In December 2016, the company relocated its head office from Luxembourg to Switzerland. IWG was established in 1989 and is based in Zug, Switzerland.",www.iwgplc.com,2916.29,8240.0,,1989.0,communications@iwgplc.com,+447584376533,Western Europe,switzerland,Switzerland,Zug,Zug,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Real estate,Rental & leasing services,Professional Services,Business Services,8,Yes,1.9,Yes,New,Opened,,,,http://www.thecitizen.co.tz/News/Business/Global-workspace-provider-to-open-centre-in-Dar/1840414-4594810-14cafei/index.html,True,False,False,real_estate_rental_and_leasing_services_business_services,False,False,True,False
176,177,Jun 2018,#307620,International Workplace Group (Regus),International Workplace Group (Regus),"International Workplace Group (IWG), together with its subsidiaries, provides office outsourcing services. IWG offers its services to property owners and investors, franchisees, brokers, and customers under the Regus, Regus Express, Spaces, Signature, and Open Office brands. Effective October 14, 2008, Regus Group plc became Regus plc. Regus plc was created as a holding company for Regus Group plc, to establish the company's headquarters in Luxembourg, relocating from the UK. The company was formerly known as Regus before rebranding to IWG in December 2016. In December 2016, the company relocated its head office from Luxembourg to Switzerland. IWG was established in 1989 and is based in Zug, Switzerland.",www.iwgplc.com,2916.29,8240.0,,1989.0,communications@iwgplc.com,+447584376533,Western Europe,switzerland,Switzerland,Zug,Zug,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Real estate,Rental & leasing services,Professional Services,Business Services,8,Yes,1.9,Yes,New,Announced,,,,http://www.thecitizen.co.tz/News/Business/Global-workspace-provider-to-open-centre-in-Dar/1840414-4594810-14cafei/index.html,True,False,False,real_estate_rental_and_leasing_services_business_services,False,False,True,False
178,179,Jun 2018,#306283,SolarHome,SolarHome,"SolarHome Pte. Ltd. leases solar energy units for rural off-grid households in Southeast Asia. It installs integrated solar energy and appliance units in customers' homes, and offers 'rent-to-own' plans of energy service subscription. The company uses the microfinance structure, Pay-As-You-Go (PAYG), which enables users to pay a monthly fees comparable to their current expenditure on legacy energy sources. The company was founded in 2016 and is based in Singapore. The company also has operations in the Philippines, Cambodia, Myanmar, and Indonesia.",solar-home.asia/en,,,,2016.0,hq@solar-home.asia,+6568372871,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Renewable energy,Solar electric power,Environmental Technology,"Sales, Marketing & Support",30,Yes,23.1,Yes,Expansion,Announced,,,,http://solar-home.asia/en/news,False,True,False,renewable_energy_solar_electric_power_sales_marketing_and_support,False,False,True,False
180,181,Jun 2018,#308487,China Canton Investments,China Canton Investments,China Canton Investments Ltd. operates as an investment holding company. The company was incorporated in 1995 and is based in Singapore.,,,,,1995.0,,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Africa,tanzania,Tanga,Not Specified,Handeni District,,,Food & Beverages,Crop production,Agribusiness,Manufacturing,44,Yes,10.0,No,New,Announced,,China,,http://www.thecitizen.co.tz/News/Chinese-firm-to-set-up-cassava-factory-in-Handeni-/1840340-4632174-hou9foz/index.html,False,True,False,food_and_beverages_crop_production_manufacturing,True,False,True,False
184,185,Jun 2018,#324100,Oakwood Worldwide,Government of Singapore Investment Corporation (GIC),"GIC is the sovereign wealth fund of the Government of Singapore. It was founded in 1981 and is based in Singapore. On 23 July 2013, GIC changed its legal name from Government of Singapore Investment Corporation to GIC.",www.gic.com.sg,,0.0,,1981.0,oakwoodamericas@oakwood.com,+18664001925,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Real estate,Residential building construction,Construction,Construction,1259,Yes,265.7,Yes,New,Announced,"Dean Schreiber, managing director, Asia Pacific, Oakwood Worldwide. ""Cambodia and Vietnam have been rapidly developing with healthy economic growth rates and this is an opportune time for Oakwood to establish itself as we foresee increasing demand for long-term accommodation.""",,,https://www.oakwood.com/press-releases/indochina-on-oakwoods-horizon,False,True,False,real_estate_residential_building_construction_construction,False,False,True,False
