#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
121,2018-08-01,#312153,CodersTrust,CodersTrust,"CodersTrust provides education and micro loans to students in emerging countries to help them improve their coding skills. The firm was founded in 2012 and is based in Copenhagen, Denmark.",www.coderstrust.com,0.15,,,,,+4522163726,Western Europe,denmark,Capital Region of Denmark,Copenhagen Municipality,Copenhagen,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Business schools, computer & management training",Creative Industries,Business Services,108,Yes,12.3,Yes,New,Opened,,,,http://thedailynewnation.com/news/185983/coderstrust-bd-opens-2nd-unit.html,True,False,False,business_services_business_schools_computer_and_management_training_business_services,False,False,2018
122,2018-08-01,#311479,General Electric (GE),General Electric (GE),"General Electric (GE) produces aircraft engines, locomotives and other transportation equipment, kitchen and laundry appliances, lighting, electric distribution and control equipment, generators and turbines, and medical imaging equipment. GE is also one of the Unites States' pre-eminent financial services providers. GE Capital, comprising commercial finance and energy financial services, is its largest segment. GE's other segments are energy, technology infrastructure, and GE home & business solutions. The company was founded in 1892 and is headquartered in Boston, Massachusetts, US.",www.ge.com,74200.0,168000.0,3690.0,1892.0,,+12033732211,North America,united_states,Massachusetts,Suffolk County (MA),Boston (MA),Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,"Coal, oil & gas",Fossil fuel electric power,Energy,Electricity,495,Yes,3000.0,No,New,Announced,,,"General Electric (GE), Mitsubishi, Summit Corporation",https://summitpowerinternational.com/summit-mitsubishi-and-ge-announce-largest-private-fdi-bangladesh,True,False,False,coal_oil_and_gas_fossil_fuel_electric_power_electricity,False,False,2018
125,2018-08-01,#311925,Steelcase,Steelcase,"Steelcase manufactures and sells integrated furniture settings, user-centered technologies, and interior architectural products. It operates through Americas, EMEA, and Other Category segments. The company's furniture portfolio includes panel-based furniture systems, storage products, fixed and height-adjustable desks, benches, and tables, as well as other products, including worktools. Its seating products comprise ergonomic task chairs; seating for collaborative or casual settings; and specialty seating for specific vertical markets, such as healthcare and education. The company's interior architectural products include full and partial height walls and doors. It also provides textiles, wall coverings, and surface imaging solutions for architects and designers; and ceramic steel surfaces for use in various applications, including static whiteboards and chalkboards through third party fabricators and distributors, as well as workplace strategy consulting, data-driven space measurement, lease origination, furniture and asset management, and hosted event services. The company markets and sells its products to corporate, government, healthcare, education, and retail customers under the Steelcase, Coalesse, Turnstone, AMQ, Designtex, and PolyVision brands. It distributes its products and services through a network of independent and company-owned dealers, as well as directly to end-use customers. The company was founded in 1912 and is headquartered in Grand Rapids, Michigan.",www.steelcase.com,3443.0,12700.0,53.7,1912.0,,+6162472710,North America,united_states,Michigan,Kent County (MI),Grand Rapids (MI),Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Consumer products,"Furniture, homeware & related products (Consumer Products)",Consumer Goods,"Sales, Marketing & Support",31,Yes,8.1,Yes,New,Opened,"Uli Gwinner, president, (Asia-Pacific), ""Bangladesh is one of the fast-growing markets in Asia and we are eagerly waiting to launch the brand here,""",,,https://www.woodworkingnetwork.com/furniture/steelcase-expands-bangladesh-joins-ikea-region,True,False,False,consumer_products_furniture_homeware_and_related_products_consumer_products_sales_marketing_and_support,False,False,2018
137,2018-07-01,#310056,Xiaomi (Beijing Xiaomi Technology),Xiaomi (Beijing Xiaomi Technology),"China-based Xiaomi manufactures smartphones. It focuses on Android, iPhone, and other next-generation smartphone software development and mobile Internet hot spots applications. The company is headquartered in Beijing, China, and was established in 2010.",www.mi.com,38080.0,0.0,1046.61,2010.0,service.global@xiaomi.com,+861060606666,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Communications,Communications equipment,ICT & Electronics,Manufacturing,1140,Yes,76.7,Yes,New,Announced,"Manu Jain, head (India), ""Bangladesh is a big strategic market for us and we are targeting it as it has huge potential as well.""",,,https://www.thedailystar.net/business/xiaomi-set-mobile-phone-plant-e-commerce-venture-bangladesh-1606858,False,True,False,communications_communications_equipment_manufacturing,False,False,2018
147,2018-07-01,#308747,Hohenstein Institute,Hohenstein Institute,"The Hohenstein Institute is an international research and service centre which focuses primarily on the development, testing and certification of textile products. It was founded in 1946 and is based in Boennigheim, Germany.",www.hohenstein.de,63.59,,,1946.0,,+4971432710,Western Europe,germany,Baden-Wurttemberg,Stuttgart,Bonnigheim,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Professional, scientific & technical services","Wood, Apparel & Related Products",Business Services,30,No,5.1,Yes,New,Opened,,,,https://www.hohenstein.de/en/inline/pressrelease_176769.xhtml?excludeId=176769,True,False,False,business_services_professional_scientific_and_technical_services_business_services,False,False,2018
180,2018-06-01,#309843,Siam City Cement (Bangladesh),Siam City Cement,"Siam City Cement, together with its subsidiaries, manufactures and sells cement products primarily in Thailand. The company operates through two segments, cement; and concrete and aggregate. It offers portland, mixed, and masonry cement under the insee cement brand; plastering, brick laying, floor levelling, tile adhesive, and other mortars under the insee mortar max brand; and blocks, lintels, and panels under the insee superblock brand. It also provides ready-mixed concrete and aggregates; and architectural decorative building materials for eaves and ceilings, walls, floors, and other decorative applications. The company was founded in 1969 and is headquartered in Bangkok, Thailand.",www.siamcitycement.com,,4346.0,,,,,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Building materials,Cement & concrete products,Construction,Manufacturing,166,Yes,103.6,Yes,Expansion,Announced,,,,https://www.cemnet.com/News/story/164204/siam-city-to-expand-production-in-sri-lanka-and-bangladesh.html,False,True,False,building_materials_cement_and_concrete_products_manufacturing,False,False,2018
183,2018-06-01,#306604,Sojitz Asia,Sojitz,"Sojitz operates as a general trading company worldwide. The company consists of a machinery division, energy and metal division, chemicals division and consumer lifestyle business division. In addition, it sells aircraft and defence equipment. Sojitz was established in 2004 and is headquartered in Tokyo, Japan.",www.sojitz.com,11674.4,20670.0,,2004.0,,+6564382566,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,"Coal, oil & gas",Other petroleum & coal products,Energy,"Sales, Marketing & Support",9,Yes,5.8,Yes,New,Opened,,,,https://www.sojitz.com/en/news/2018/06/20180601.php,True,False,False,coal_oil_and_gas_other_petroleum_and_coal_products_sales_marketing_and_support,False,False,2018
193,2018-05-01,#307445,Veolia Water Solutions & Technologies,Veolia Environnement (Veolia Environment),"Veolia Environnement provides environmental management services to public authorities, industrial and commercial services customers and individuals worldwide. The company's water segment offers water and wastewater services, including the management and operation of large-scale and customised drinking water plants, wastewater decontamination and recycling plants, drinking water distribution networks, and wastewater collection networks. Its environmental services segment provides waste management and logistics services. Its energy services segment offers energy management services. Veolia Environnement was founded in 1853 and is headquartered in Paris, France.",www.veoliaenvironnement.com,28074.23,179000.0,,1853.0,,,Western Europe,france,Ile-de-France,Paris,Paris,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Water, sewage & other systems",Environmental Technology,Manufacturing,88,Yes,45.8,Yes,New,Announced,,,"Suez, Veolia",https://www.suez.com/en/News/Press-Releases/SUEZ-and-Veolia-win-the-contract-to-supply-drinking-water-to-Dhaka-Bangladesh,True,False,False,business_services_water_sewage_and_other_systems_manufacturing,False,False,2018
204,2018-05-01,#305209,China Huadian,China Huadian,"China Huadian engages in the generation and supply of electricity and heat in China. It generates electricity through water, thermal, and wind sources. The company also develops power-related primary energy, such as coal; and provides related professional and technical services. In addition, it engages in the investment, construction, and maintenance of power plants. The company was founded in 2002 and is based in Beijing, China.",www.chd.com.cn,32421.4,97629.0,,,,+861088026788,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,bangladesh,Chittagong,Not Specified,Cox's Bazar,,,"Coal, oil & gas",Fossil fuel electric power,Energy,Electricity,62,Yes,1253.1,Yes,New,Announced,,,"China Huadian, Bangladesh Power Development Board",https://www.reuters.com/article/us-china-bangladesh-power/bangladesh-signs-deal-with-china-to-set-up-coal-based-power-plant-idUSKBN1I80XR,False,True,False,coal_oil_and_gas_fossil_fuel_electric_power_electricity,False,False,2018
208,2018-05-01,#305409,Sakata Inx,Sakata Inx,"Sakata INX engages in the manufacture and sale of printing inks. Its printing ink products include news paper printing ink, commercial printing ink, packaging ink, flexible packaging gravure ink and metal decorating ink, as well as other products, such as water-based coating varnishes, fountain solutions, ink additives, coatings for paper milling, functional coatings, varnishes and adhesives. The company was established in 1896 and is based in Osaka, Japan.",www.inx.co.jp/english,1322.95,0.0,,1896.0,,+81664475811,Asia-Pacific,japan,Kansai,Osaka,Osaka,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,Abdul Monem Economic Zone,,Chemicals,Other chemical products & preparation,Industrial,Manufacturing,119,Yes,105.0,Yes,New,Announced,,,,http://thedailynewnation.com/news/174305/sakata-inx-sets-up-industrial-unit.html,True,False,False,chemicals_other_chemical_products_and_preparation_manufacturing,False,False,2018
222,2018-05-01,#305176,Midmark,Midmark,"Midmark manufactures and supplies medical, dental, and animal health products. The company was founded in 1915 and is headquartered in Dayton, Ohio, US.",www.midmark.com,,,,1915.0,,+19375287500,North America,united_states,Ohio,Montgomery County (OH),Dayton (OH),Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Medical devices,Medical equipment & supplies,Life sciences,"Sales, Marketing & Support",22,Yes,12.4,Yes,New,Announced,,,,http://www.thehindu.com/news/cities/Hyderabad/midmark-may-set-up-unit-in-ap-or-ts/article23794921.ece,True,False,False,medical_devices_medical_equipment_and_supplies_sales_marketing_and_support,False,False,2018
228,2018-04-01,#304357,Kovair Software,Kovair Software,"Kovair Software provides application lifecycle management (ALM) and information technology service management (ITSM) solutions to support software development and management in the United States and internationally. It offers ALM solutions to manage requirements, tests, issues, risks, releases, and projects; achieve change management with multi level traceability; automate workflow processes for quality and productivity; integrate tools for integrated ALM solutions; and create dashboards and reports for management visibility. Kovair Software was founded in 1999 and is based in San Ramon, California. It was previously based in Milpitas.",www.kovair.com,,,,1999.0,support@kovair.com,+14082620200,North America,united_states,California,Contra Costa County (CA),San Ramon (CA),Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Software & IT services,"Software publishers, except video games",ICT & Electronics,"Sales, Marketing & Support",39,Yes,6.7,Yes,New,Opened,,,Kovair Software,http://www.prweb.com/releases/2018/04/prweb15421965.htm,True,False,False,software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,False,False,2018
296,2018-02-01,#298587,Leonardo (Finmeccanica),Leonardo (Finmeccanica),"Leonardo, together with its subsidiaries, is involved in helicopters, defence and security electronics, aeronautics, space, defence systems, energy, and transportation business activities primarily in Italy, the UK, and North America. It manufactures defence aircraft, military airlifters, commercial airliners, special mission aircraft, and unmanned air vehicles; aerostructures and regional turboprop aircraft for civil applications; and training aircraft and engine nacelles for civil aeronautics, as well as involved in the conversion and updating of aircraft. The company was established in 1948 and is based in Rome, Italy. It was previously known as Finmeccanica and changed its name in January 2017.",www.leonardocompany.com,14423.92,0.0,152.05,1948.0,webeditor@finmeccanica.it,+3906324731,Western Europe,italy,Lazio,Roma,Rome,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Aerospace,Aircraft,Transport Equipment,"Sales, Marketing & Support",16,Yes,6.6,Yes,New,Announced,,,,https://www.shephardmedia.com/news/defence-notes/singapore-airshow-2018-leonardo-deepen-asia-pacifi/,True,False,False,aerospace_aircraft_sales_marketing_and_support,False,False,2018
312,2018-02-01,#298173,Ukrinmash,Ukrainian Defense Industry (Ukroboronprom),"Ukroboronprom, also known as, Ukrainian Defense Industry, is an association of multi-product enterprises in various sectors of the defence industry of Ukraine.",ukroboronprom.com.ua/uk/,,,,,,,Emerging Europe,ukraine,Ukraine,Kyiv,Kyiv,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Aerospace,Aircraft,Transport Equipment,Maintenance & Servicing,164,Yes,36.5,Yes,New,Opened,,,,http://www.defenseworld.net/news/21895/Ukraimash_Opens_Mi_8_Helicopter_Service_Center_in_Bangladesh#.WpfeW-jFKUk,False,True,False,aerospace_aircraft_maintenance_and_servicing,False,False,2018
347,2018-01-01,#294324,Nutan Bidyut (Bangladesh),Shapoorji Pallonji (Group),"Shapoorji Pallonji, through its subsidiaries, operates in construction, real estate, infrastructure, biofuels and agriculture, consumer products, electro-mechanical and MEP services, facades and interiors, engineering, textiles, business automation, and shipping and logistics businesses in India, the Middle East, and Africa. It serves clients in India, the United Arab Emirates, Kuwait, Ghana, Qatar, Saudi Arabia, Algeria, Gambia, Nigeria, Sri Lanka, and Kenya. The company was founded in 1865 and is based in Mumbai, India.",www.shapoorji.in,1661.3316,0.0,,1865.0,,,Asia-Pacific,india,Maharashtra,Not Specified,Mumbai,Asia-Pacific,bangladesh,Barisal,Not Specified,Not Specified,,,"Coal, oil & gas",Fossil fuel electric power,Energy,Electricity,45,Yes,272.0,No,New,Announced,,,,Factiva Article,False,True,True,coal_oil_and_gas_fossil_fuel_electric_power_electricity,False,True,2018
357,2018-01-01,#295943,EFG Hermes,EFG Hermes Holding,"EFG Hermes Holding is an investment banking firm. The company provides services in the areas of investment banking, including mergers and acquisitions, equity capital markets, and debt capital markets; securities brokerage; research; asset management; private equity; leasing; and commercial banking. It seeks to offer services to clients across Europe, Africa, and the United States. The company's client consolidation includes governments, corporations, financial institutions, high-net worth clients, and individual customers. EFG Hermes Holding was founded in 1984 and is headquartered in 6th of October City, Egypt.",www.efghermes.com,200.649,0.0,,1984.0,,,Africa,egypt,Giza,Not Specified,6th of October City,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,"""The economy is projected to continue growing at a 6-7% rate going forward, driven by a vibrant, export-focused textiles sector; a fast-growing pharmaceutical industry that is both one of the lowest-cost producers in the world and increasingly export-oriented; rising remittances from Bangladeshi expats; a large domestic consumer market with a rapidly forming middle class; and a steadily improving rate of financial inclusion,"" said Ali Khalpey, chief executive officer,  EFG Hermes, Frontier----------------The opening of the Dhaka rep office gives EFG Hermes a client servicing edge in a market that has risen 23.93% in the past year.",,,http://efghermes.com/en/News/Pages/Corporate-News-Details.aspx?wurl=/en/News&lid=64f7e8df-e76b-42cf-9180-30f24b4b9ed1&vid=9310a3fc-11e6-4145-927d-c49e5a218ddf&iid=380,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2018
359,2018-01-01,#293472,"China Energy Engineering Group Northeast No.1 Electric Power Construction CO., Ltd (NEPC)",China Energy Engineering,"China Energy Engineering provides comprehensive solutions to the power industry in the People's Republic of China and internationally. The company operates through Survey, Design and Consulting Services; Infrastructure Construction Contracts; Equipment Manufacturing; Civil Explosives and Cement Production; and Investment and Other Businesses segments. The Survey, Design and Consulting segment offers survey and design services for large scale power generation, transformation, and transmission projects of fossil-fuel power, hydropower, nuclear power, wind farm, and solar power; and various consultancy services, including the policy and planning of the power industry, as well as the testing, evaluation, and supervision of power projects. The Infrastructure Construction Contracts segment provides construction contracting services to power generation, transformation and transmission projects of fossil-fuel power, hydropower, nuclear power, wind farm, and solar power; and undertakes other construction projects, such as water conservancy facilities, transportation, municipal engineering, industrial, and civil construction projects. The Equipment Manufacturing segment designs, manufactures, and sells auxiliary machinery equipment for power plants, power grid equipment, steel structures, energy-saving and environmental-friendly equipment, and complete sets of equipment. The Civil Explosives and Cement Production segment manufactures and sells civil explosives and cement; and offers blasting services for construction projects. The Investment and Other Businesses Segment invests in and operates power plants; and other infrastructure projects, such as railways and roads, and environmental water projects, as well as engages in real estate development business. The company was founded in 2012 and is headquartered in Beijing, China.",en.ceec.net.cn,,,,2012.0,nepc@vip.163.com,+862431039033,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,bangladesh,Dhaka,Not Specified,Gulshan,,,Business services,"Architectural, engineering, & related services",Energy,Business Services,108,Yes,12.3,Yes,New,Opened,,,,http://thedailynewnation.com/news/159838/chinese-power-giant-nepc-opens-office-in-capital.html,False,True,False,business_services_architectural_engineering_and_related_services_business_services,False,False,2018
