#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
112,2018-08-01,#313175,ASEAN Legal Alliance (ALA),ASEAN Legal Alliance (ALA),The ASEAN Legal Alliance (ALA) was formed to bring together law firms from each of the 10 member states to provide a truly ASEAN wide legal network. The firm is ASEAN focused on helping its clients to navigate the ASEAN legal landscape. The firm was founded in 2014 and is based in Singapore.,aseanlegalalliance.net/,,,,2014.0,contact@aseanlegalalliance.net,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,Legal services,Professional Services,Business Services,11,Yes,12.3,Yes,New,Opened,,,,https://www.legalbusinessonline.com/news/asean-legal-alliance-sets-representative-office-myanmar/76137,True,False,False,False,True,False,business_services_legal_services_business_services,False,False,2018
115,2018-08-01,#312391,Uniqlo,Fast Retailing,"Fast Retailing is an apparel retailer that operates Uniqlo and other brands. The company was formerly known as Ogori Shoji and changed its name to Fast Retailing in September 1991. Fast Retailing is based in Yamaguchi, Japan, and was founded in 1949.",www.fastretailing.com,17162.92,55590.0,,1949.0,,+81839880333,Asia-Pacific,japan,Chugoku,Yamaguchi,Yamaguchi,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,Retail Trade,Retail,25,Yes,6.5,Yes,New,Announced,,,,https://asia.nikkei.com/Business/Companies/Uniqlo-to-double-Southeast-Asia-footprint-by-2022,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_retail,False,False,2018
130,2018-07-01,#326605,MSN Laboratories,MSN Laboratories,"MSN Laboratories operates as a pharmaceutical company. The company offers active pharmaceutical ingredients and finished dosages. It is based in Hyderabad, India.",www.msnlabs.com,,0.0,,2003.0,info@msnlabs.com,+914030438600,Asia-Pacific,india,Telangana,Not Specified,Hyderabad,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Pharmaceuticals,Pharmaceutical preparations,Life sciences,Manufacturing,51,Yes,35.5,No,New,Announced,,"ASEAN, Africa, Latin America and CIS regions","Mega Lifesciences , MSN Laboratories",http://msnlabs.com/news.html,False,False,False,False,True,True,pharmaceuticals_pharmaceutical_preparations_manufacturing,False,False,2018
139,2018-07-01,#309463,VFS Global,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,3456.82,0.0,,1906.0,customercare@vfsglobal.com,+97142567077,Western Europe,switzerland,Switzerland,Zurich,Zurich,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,Other support services,Professional Services,Business Services,11,Yes,12.3,Yes,New,Opened,,,,https://scandasia.com/swedish-visa-application-center-opened-in-yangon/,True,False,False,True,False,False,business_services_other_support_services_business_services,False,False,2018
161,2018-07-01,#310549,EGAT International,Electricity Generating Authority of Thailand (EGAT),"Electricity Generating Authority of Thailand is engaged in the generation, transmission, and distribution of electricity to distributing authorities, industrial customers, and other utilities in Thailand and internationally. It owns and operates three thermal power plants, six combined cycle power plants, 22 hydropower plants, eight renewable energy power plants, and a diesel power plant. The company also purchases bulk electricity from independent power producers, small power producers, and from neighboring countries, such as Lao PDR and Malaysia. The company was founded in 1969 and is headquartered in Nonthaburi, Thailand.",www.egat.co.th,9738.7,,,1969.0,,+6624366957,Asia-Pacific,thailand,Central,Not Specified,Nonthaburi,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,"Coal, oil & gas",Fossil fuel electric power,Energy,Electricity,7,Yes,45.0,No,New,Announced,,,,https://www.bangkokpost.com/business/news/1507302/egati-seeks-myanmar-power-plants,False,False,False,False,True,True,coal_oil_and_gas_fossil_fuel_electric_power_electricity,False,False,2018
170,2018-06-01,#307515,EV Hive,EV Hive,"EV Hive is a co-working and community operator.  It manages more than 30,000 sq m of workspace in 21 locations across Indonesia, with eight additional locations under construction. Besides opening collaborative workspaces, the company also offers a broad suite of supporting services and a community network to support its members in starting and growing their business. The company was founded in 2015 and is based in Jakarta, Indonesia.",evhive.co,,,,2015.0,info@evhive.co,+622187871111880,Asia-Pacific,indonesia,Java,Jakarta,Jakarta,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Real estate,Rental & leasing services,Professional Services,Business Services,8,Yes,1.9,Yes,New,Announced,,,,https://www.techinasia.com/ev-hive-series-a-funding-20m,False,False,False,False,True,False,real_estate_rental_and_leasing_services_business_services,False,False,2018
173,2018-06-01,#307414,Toyo Ink,Toyo Ink,"Toyo Ink, through its subsidiaries, engages in printing and information, packaging materials, polymers and coatings and colourants and functional materials businesses in Japan and internationally. It manufactures and sells polymer materials, inks, waxes, coating materials, high performance pigments and offset inks. The company also engages in the R&D of polymer designing technology, the sale and servicing of products, the provision of information, system integration and consulting services for printing workflows. In addition, it provides logistics services and engages in the import and sale of pigments, dispersions and specialty chemical products. It trades raw materials, printing equipment and products, operating as an investment holding company. It is also investing in a power plant in Vietnam. The company was established in 1896 and is based in Tokyo, Japan.",schd.toyoinkgroup.com/en,2253.29,7887.0,26.02,1896.0,info@toyoinkgroup.com,+81332725731,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Chemicals,Other chemical products & preparation,Industrial,Manufacturing,119,Yes,12.8,Yes,New,Announced,"In recent years, the government's aggressive policies to attract foreign funding, such as infrastructure enhancements and relaxation of import restrictions, have substantially strengthened Myanmar's investment climate, making it an attractive investment destination, according to Toyo Ink.",,,http://www.labelsandlabeling.com/news/industry-updates/toyo-ink-start-production-myanmar,False,False,False,True,False,False,chemicals_other_chemical_products_and_preparation_manufacturing,False,False,2018
182,2018-06-01,#308744,Kaplan Myanmar University College (KMUC),Graham Holdings Company (Washington Post Holding),"Graham Holdings Company, through its subsidiaries, operates as a diversified education and media company worldwide. It provides a range of certificate, diploma, and degree programs, as well as online education services; and test preparation business services in pre-college, graduate, health, and bar review, as well as publishes and sells test preparation and other books through retail channels.  The company was formerly known as The Washington Post Company and changed its name to Graham Holdings Company in November 2013. Graham Holdings Company was founded in 1877 and is based in Arlington, Virginia, US.",www.ghco.com,2889.12,0.0,,1877.0,,,North America,united_states,Virginia,Arlington County (VA),Arlington (VA),Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Opened,,,,https://www.mmtimes.com/news/kaplan-open-first-wholly-owned-campus-yangon.html,False,False,False,True,False,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,2018
188,2018-06-01,#330782,Kerry Logistics,The Kuok Group,"The Kuok Group engages in residential, commercial, and industrial property development activities in Asia. Its properties include hotels and resorts, and serviced apartments. It is also engaged in logistics and maritime operations. The company has a global strategic alliance with Drydocks World South-East Asia. The Kuok Group was formerly known as Kuok Brothers. It was founded in 1949 and is based in Johor Bahru, Malaysia.",www.kuokgroup.com/,1761.9,,,1949.0,,+85224103600,Asia-Pacific,malaysia,Johor,Not Specified,Johor Bahru,Asia-Pacific,myanmar,Myanmar,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Opened,,,,https://sina.com.hk/news/article/20180830/0/2/40/Kerry-Logistics-Achieves-Double-digit-Growth-in-Turnover-and-Core-Net-Profit-Propelled-by-Strong-Asia-Trade-and-Increasing-Volume-in-the-Region-9183547.html,False,False,False,False,True,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2018
189,2018-06-01,#330785,Kerry Logistics,The Kuok Group,"The Kuok Group engages in residential, commercial, and industrial property development activities in Asia. Its properties include hotels and resorts, and serviced apartments. It is also engaged in logistics and maritime operations. The company has a global strategic alliance with Drydocks World South-East Asia. The Kuok Group was formerly known as Kuok Brothers. It was founded in 1949 and is based in Johor Bahru, Malaysia.",www.kuokgroup.com/,1761.9,,,1949.0,,+85224103600,Asia-Pacific,malaysia,Johor,Not Specified,Johor Bahru,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Opened,,,,https://www.kerrylogistics.com/our-network/country/myanmar/,False,False,False,False,True,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2018
197,2018-05-01,#305513,Sinotruk CDW,Sinotruk (China National Heavy Duty Truck Group) (CNHTC),"Sinotruk (China National Heavy Duty Truck Group) (CNHTC) (Sinotruk Group) develops, manufactures, and sells trucks, special trucks, buses, special vehicles, engines and engine units, auto parts, and special chassis products. It sells its products in China, as well as exports internationally. CNHTC was formerly known as Jinan General Auto Works Plant and changed its name in 2001. The company was founded in 1956 and is based in Jinan, China.",www.cnhtc.com.cn,8249.2,24819.0,,1956.0,,,Asia-Pacific,china,Shandong,Not Specified,Jinan,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Automotive OEM,Heavy duty trucks,Retail Trade,Retail,13,Yes,15.6,Yes,New,Opened,,,,http://www.chinatrucks.com/html/news/2018/0507/article_7917.html,False,False,False,False,True,True,automotive_oem_heavy_duty_trucks_retail,False,False,2018
203,2018-05-01,#306545,AboitizPower,Aboitiz Equity Ventures,"Aboitiz Equity Ventures, Inc., through its subsidiaries, engages in the power generation, distribution, and retail electricity supply; financial services; food manufacturing; real estate; infrastructure; and portfolio investments businesses in the Philippines. The company operates through Power, Banking & Financial Services, Food, Real Estate, and Infrastructure segments. It also engages in project management and projects involving civil works, industrial piping works, electro-mechanical works, and steel fabrication. The company was formerly known as Cebu Pan Asian Holdings, Inc. and changed its name to Aboitiz Equity Ventures, Inc. in December, 1993. Aboitiz Equity Ventures, Inc. was incorporated in 1989 and is based in Taguig, the Philippines.",www.aboitiz.com,,0.0,,1989.0,openaccess@aboitiz.com,+6328862800,Asia-Pacific,philippines,National Capital Region (NCR),Metro Manila,Taguig,Asia-Pacific,myanmar,Myanmar,Not Specified,Not Specified,,,"Coal, oil & gas",Fossil fuel electric power,Energy,Electricity,62,Yes,1148.8,Yes,New,Announced,,,,https://www.philstar.com/business/2018/05/23/1817692/aboitizpower-seeks-greenfield-projects-indonesia-myanmar,False,False,False,False,True,False,coal_oil_and_gas_fossil_fuel_electric_power_electricity,False,False,2018
205,2018-05-01,#306689,Precision Auto Engineering,Precision Auto Engineering,"Precision Auto Engineering manufactures automotive components, in particular, stainless steel fasteners which are used in all types of vehicles. The firm was founded in 1963 and is based in Ludhiana, India.",www.precisionfasteners.com,,,,1963.0,info@paesteel.com,+911612671522,Asia-Pacific,india,Punjab,Not Specified,Ludhiana,Asia-Pacific,myanmar,Kayin State (Karen),Not Specified,Myawaddy,Myawaddy Border Trade Industrial Zone,,Automotive OEM,Automobiles,Transport Equipment,Manufacturing,7,Yes,1.35,No,New,Announced,,,,https://www.dealstreetasia.com/stories/basf-precision-auto-98440/,False,False,False,False,True,True,automotive_oem_automobiles_manufacturing,False,False,2018
206,2018-05-01,#306773,Hansae,Hansae,"Hansae engages in the business of original equipment manufacturing and the export of garments. The company offers shirts, knits, lady's wear, casual clothes and other related products. It sells its products directly to buyers in the US. The company was founded in 1982 and is based in Seoul, South Korea.",www.hansae.com,1640.0,0.0,,1982.0,,+82237790779,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1330,Yes,34.0,Yes,New,Announced,,,,http://news.mk.co.kr/newsRead.php?year=2018&no=343384,False,False,False,False,True,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2018
207,2018-05-01,#306923,Posco Daewoo (Daewoo),POSCO (Pohang Iron & Steel),"POSCO engages in the manufacture and sale of steel products in Korea and internationally. It offers hot rolled steel, atmospheric corrosion resistant steel, cold rolled steel and titanium products. In addition, the company is involved in various other activities, including engineering and construction, steel work maintenance and machinery installation, computer hardware and software distribution, economic research and consulting, rental houses construction and management, energy and resource development, architecture, consulting, transporting, warehousing, and electricity generation. POSCO was established in 1968 and is headquartered in Seoul, South Korea. The frim previously operated as Pohang Iron and Steel.",www.posco.co.kr,62693.73,0.0,,1968.0,,+82027592114,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,myanmar,Myanmar,Not Specified,Not Specified,,,"Coal, oil & gas",Oil & gas extraction,Energy,Extraction,297,Yes,471.94,No,New,Announced,,,"GAIL (India), Myanmar Oil and Gas Enterprise (MOGE), Korea Gas Corporation (KOGAS) , Oil and Natural Gas Corporation (ONGC)",http://english.yonhapnews.co.kr/news/2018/05/31/0200000000AEN20180531010200320.html,False,False,False,False,True,False,coal_oil_and_gas_oil_and_gas_extraction_extraction,True,False,2018
212,2018-05-01,#306341,Lee & Man Paper Manufacturing,Lee & Man Paper Manufacturing,"Lee & Man Paper Manufacturing, an investment holding company, manufactures and trades paper and pulp in China and Vietnam. It offers various pulp products, such as dissolved pulp for use in viscoce chemical fibre, bamboo fibre, glass paper, acetate fibre and refined rayon; unbleached bamboo kraft pulp for use in ecru life paper, environmental tableware and food bags; and bleached bamboo kraft pulp for use in tissue papers, fine papers, cigarette papers and cup papers. The company was founded in 1994 and is based in Kwun Tong, Hong Kong.",www.leemanpaper.com,4116.43,,,1994.0,,+85223199889,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Bago,Not Specified,Bago,,,"Paper, printing & packaging","Pulp, paper, & paperboard","Wood, Apparel & Related Products",Manufacturing,3000,No,479.0,Yes,New,Announced,,,,http://en.xfafinance.com/html/Companies/2018/360431.shtml,True,False,True,False,True,False,paper_printing_and_packaging_pulp_paper_and_paperboard_manufacturing,False,False,2018
214,2018-05-01,#306836,De Heus International,De Vierschaar,"The Netherlands-based De Vierschaar is the holding firm for a number of companies. The mutual activities within the group include the provision of goods and property leasing. De Vierschaar is based in Ede Gold, Netherlands.",,1736.9,,,,info@deheus.com,,Western Europe,netherlands,East Netherlands,Gelderland,Ede,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Food & Beverages,Animal food,Agribusiness,Manufacturing,264,Yes,31.8,Yes,New,Opened,"Johan van den Ban, (Myanmar) managing director states that ""for several years, De Heus Myanmar has had a sales warehouse in Mandalay to flexibly supply customers in the region. Based on growing demand, the identified high potential and our company's commitment to our local customers, we decided to invest in this new factory quite soon after opening our first factory back in October 2016. We hope that this new production facility will enable us to support the livestock farmers even better.""",,,https://www.deheus.com/news/overview/de-heus-underlines-growth-in-myanmar-by-opening-second-production-site-956,True,False,False,True,False,False,food_and_beverages_animal_food_manufacturing,False,False,2018
219,2018-05-01,#306651,Tama Home,Tama Home,"Tama Home is engaged in the construction, architectural design, real estate, and insurance agency businesses in Japan. It primarily builds and sells houses for communities. The company was founded in 1998 and is headquartered in Tokyo, Japan.",www.tamahome.jp,,,,1998.0,,,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Real estate,Residential building construction,Construction,Construction,16,Yes,2.74,No,New,Announced,,,"Tama Home, Kakehasi Real Estate Group",https://asia.nikkei.com/Business/Business-Trends/Myanmar-is-new-frontier-for-Japanese-condo-developer,False,False,False,True,False,False,real_estate_residential_building_construction_construction,False,False,2018
223,2018-05-01,#332327,Mutsumi Special Alloy,Mutsumi Special Alloy,"Mutsumi Special Alloy Industry Co., Ltd. manufactures automobile components. The company was founded in 1964 and is based in Machida, Japan.",www.mutsumi-t.co.jp,,,,1964.0,,+0427967123,Asia-Pacific,japan,Kanto,Tokyo,Machida,Asia-Pacific,myanmar,Bago,Not Specified,Not Specified,,,Automotive components,Other motor vehicle parts,Transport Equipment,Manufacturing,20,Yes,3.0,No,New,Opened,,,"Not Specified, Mutsumi Special Alloy",https://www.nna.jp/english_contents/news/show/20190416_0002,False,False,False,True,False,False,automotive_components_other_motor_vehicle_parts_manufacturing,False,False,2018
226,2018-04-01,#305609,Siam GS Battery Myanmar,GS Yuasa,"GS Yuasa is a battery manufacturer. The company was founded in 1915 and is headquartered in Kyoto, Japan.",www.gs-yuasa.com,3295.16,0.0,83.69,1915.0,,,Asia-Pacific,japan,Kansai,Kyoto,Kyoto,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Electronic components,Batteries,Transport Equipment,Manufacturing,31,No,10.0,No,New,Opened,,,,https://www.bangkokpost.com/business/1740804/siam-gs-battery-kicks-off-10m-myanmar-plant,False,False,False,True,False,False,electronic_components_batteries_manufacturing,False,False,2018
227,2018-04-01,#303893,Auston Institute of Management,Auston Institute of Management,Auston Institute of Management is a Singapore-headquartered education company focused on engineering and project management titles. The company was founded in 1996.,www.auston.edu.lk,,,,1996.0,ask@auston.edu.sg,+6563345900,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Opened,,,"Myanmar Strategic Holdings, Auston Institute of Management",https://www.mmtimes.com/news/myanmar-strategic-holdings-jv-operate-yangon-private-school.html,True,False,False,False,True,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,2018
