#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
151,2018-07-01,#310312,Yisheng Group,Yisheng Group,"Yisheng Group., a biopharmaceutical company, researches, develops, manufactures, and markets immuno-oncology products and vaccines. It offers YS-ON-001, an investigational biological product that demonstrates immuno-modulating effects, such as induction of anti-tumour cytokines, activation of NK cells, regulation of macrophage polarization, and suppression of regulatory T cells for the treatment of advanced solid tumours. Yisheng Group was founded in 2002 and is based in Beijing with operations in China, the United States, and Singapore.",www.yishengbio.com,,,,2002.0,,+8601061253627,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Biotechnology,In-Vitro diagnostic substances,Life sciences,"Sales, Marketing & Support",36,Yes,6.7,Yes,New,Opened,,,,https://www.prnewswire.com/news-releases/yisheng-biopharma-announces-opening-of-new-business-divisions-in-cambodia-expanding-presence-within-southeast-asia-300683333.html,False,False,False,False,True,False,biotechnology_in_vitro_diagnostic_substances_sales_marketing_and_support,False,False,2018
152,2018-07-01,#310318,Yisheng Group,Yisheng Group,"Yisheng Group., a biopharmaceutical company, researches, develops, manufactures, and markets immuno-oncology products and vaccines. It offers YS-ON-001, an investigational biological product that demonstrates immuno-modulating effects, such as induction of anti-tumour cytokines, activation of NK cells, regulation of macrophage polarization, and suppression of regulatory T cells for the treatment of advanced solid tumours. Yisheng Group was founded in 2002 and is based in Beijing with operations in China, the United States, and Singapore.",www.yishengbio.com,,,,2002.0,,+8601061253627,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Biotechnology,In-Vitro diagnostic substances,Life sciences,"Sales, Marketing & Support",36,Yes,6.7,Yes,New,Opened,,,,https://www.prnewswire.com/news-releases/yisheng-biopharma-announces-opening-of-new-business-divisions-in-cambodia-expanding-presence-within-southeast-asia-300683333.html,False,False,False,False,True,False,biotechnology_in_vitro_diagnostic_substances_sales_marketing_and_support,False,False,2018
165,2018-07-01,#309049,DragonEx,DragonEx,DragonEx is a cryptocurrency exchange platform. The firm was founded in 2017 and is based in Singapore.,dragonex.io/,,,,2017.0,service@DragonEx.io,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Announced,,,,https://www.prnewswire.com/news-releases/most-user-friendly-cryptocurrency-exchanges-dragonex-launched-global-operation-center-in-thailand-300673590.html,True,False,False,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2018
172,2018-06-01,#308250,Chengdu Bayi Furniture,Chengdu Bayi Furniture,"Chengdu Bayi Furniture Stock Co., Ltd. was founded in 1998. The Company's line of business includes the manufacturing of house furnishings, such as blankets, bedspreads, sheets, table clothes, towels and shower curtains. The company is based in Chengdu, China.",,,,,1998.0,,,Asia-Pacific,china,Sichuan,Not Specified,Chengdu,Asia-Pacific,cambodia,Kandal,Not Specified,Not Specified,,,Consumer products,"Furniture, homeware & related products (Consumer Products)",Consumer Goods,"Sales, Marketing & Support",31,Yes,8.1,Yes,New,Opened,,,,https://www.khmertimeskh.com/50503746/chinese-construction-depot-opens-in-kandal/,False,False,False,False,True,False,consumer_products_furniture_homeware_and_related_products_consumer_products_sales_marketing_and_support,False,False,2018
175,2018-06-01,#308638,"Join.In Hospitality Management Co., Ltd","Join.In Hospitality Management Co., Ltd","Join.In Hospitality Management Co., Ltd. is the exclusive licensee of Tonino Lamborghini brand in the field of the hospitality industry, specifically hotel operation and management for mainland China, Hong Kong, Macao, Taiwan, Japan, and British Columbia, Canada. The firm is based in Shanghai, China.",www.j-hm.com/,,,,,info@J-HM.com,+8602152679588,Asia-Pacific,china,Shanghai Municipality,Not Specified,Shanghai,Asia-Pacific,cambodia,Siem Reap,Not Specified,Siem Reap,,,Hotels & tourism,Accommodation,Tourism,Construction,263,Yes,179.0,Yes,New,Announced,,,"Shimao Property Holdings Ltd, Join.In Hospitality Management Co., Ltd",https://www.phnompenhpost.com/business/siem-reap-resort-works-china-firm,False,False,False,False,True,False,hotels_and_tourism_accommodation_construction,False,False,2018
176,2018-06-01,#307607,Kinokuniya,Kinokuniya,"Kinokuniya Company Ltd. operates stores that sell various products to customers in Japan and internationally. The company offers Japanese/foreign books, journals (electronic journals), magazines, CD-ROMs, audio-visual software products, stationery items, and educational and library equipment/systems. It also provides electronic information services; publishing services; audio-visual software production services; bibliographic database production services; and theatre and art gallery management services. The company was founded in 1927 and is based in Tokyo, Japan. It has stores in Japan, Singapore, Taiwan, Indonesia, Malaysia, Thailand, the United States, Australia, the United Kingdom, and the United Arab Emirates.",www.kinokuniya.co.jp,,,,1927.0,,+81369100505,Asia-Pacific,japan,Not Specified,Not Specified,Not Specified,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Consumer products,"Sporting goods, hobby, books & music",Retail Trade,Retail,83,Yes,26.4,Yes,New,Opened,,,,https://www.cambodiadaily.com/news/japans-kinokuniya-company-opens-first-bookstore-cambodia-137658/,False,False,False,True,False,False,consumer_products_sporting_goods_hobby_books_and_music_retail,False,False,2018
179,2018-06-01,#306283,SolarHome,SolarHome,"SolarHome Pte. Ltd. leases solar energy units for rural off-grid households in Southeast Asia. It installs integrated solar energy and appliance units in customers' homes, and offers 'rent-to-own' plans of energy service subscription. The company uses the microfinance structure, Pay-As-You-Go (PAYG), which enables users to pay a monthly fees comparable to their current expenditure on legacy energy sources. The company was founded in 2016 and is based in Singapore. The company also has operations in the Philippines, Cambodia, Myanmar, and Indonesia.",solar-home.asia/en,,,,2016.0,hq@solar-home.asia,+6568372871,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Renewable energy,Solar electric power,Environmental Technology,"Sales, Marketing & Support",30,Yes,23.1,Yes,Expansion,Announced,,,,http://solar-home.asia/en/news,True,False,False,False,True,False,renewable_energy_solar_electric_power_sales_marketing_and_support,False,False,2018
184,2018-06-01,#308370,Fourtitude Asia,Fourtitude Asia,"Fourtitude Asia is a cloud platform developer. It was founded in 2000 and is headquartered in Petaling Jaya, Malaysia.",www.fourtitude.asia,,,,2000.0,,+60378806580,Asia-Pacific,malaysia,Selangor,Not Specified,Petaling Jaya,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Not Specified,,,Communications,"Data processing, hosting, & related services",ICT & Electronics,ICT & Internet Infrastructure,26,Yes,70.0,No,New,Announced,,,"Fourtitude Asia, Te Aikhong Enterprise, Kepstar Data Center",https://www.khmertimeskh.com/50504327/new-partnership-to-build-cambodias-biggest-data-centre/,False,False,False,False,True,False,communications_data_processing_hosting_and_related_services_ict_and_internet_infrastructure,False,False,2018
185,2018-06-01,#324100,Oakwood Worldwide,Government of Singapore Investment Corporation (GIC),"GIC is the sovereign wealth fund of the Government of Singapore. It was founded in 1981 and is based in Singapore. On 23 July 2013, GIC changed its legal name from Government of Singapore Investment Corporation to GIC.",www.gic.com.sg,,0.0,,1981.0,oakwoodamericas@oakwood.com,+18664001925,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Real estate,Residential building construction,Construction,Construction,1259,Yes,265.7,Yes,New,Announced,"Dean Schreiber, managing director, Asia Pacific, Oakwood Worldwide. ""Cambodia and Vietnam have been rapidly developing with healthy economic growth rates and this is an opportune time for Oakwood to establish itself as we foresee increasing demand for long-term accommodation.""",,,https://www.oakwood.com/press-releases/indochina-on-oakwoods-horizon,True,False,False,False,True,False,real_estate_residential_building_construction_construction,False,False,2018
186,2018-06-01,#324103,Oakwood Worldwide,Government of Singapore Investment Corporation (GIC),"GIC is the sovereign wealth fund of the Government of Singapore. It was founded in 1981 and is based in Singapore. On 23 July 2013, GIC changed its legal name from Government of Singapore Investment Corporation to GIC.",www.gic.com.sg,,0.0,,1981.0,oakwoodamericas@oakwood.com,+18664001925,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Real estate,Residential building construction,Construction,Construction,1259,Yes,265.7,Yes,New,Announced,"Dean Schreiber, managing director, Asia Pacific, Oakwood Worldwide. ""Cambodia and Vietnam have been rapidly developing with healthy economic growth rates and this is an opportune time for Oakwood to establish itself as we foresee increasing demand for long-term accommodation.""",,,https://www.oakwood.com/press-releases/indochina-on-oakwoods-horizon,True,False,False,False,True,False,real_estate_residential_building_construction_construction,False,False,2018
215,2018-05-01,#306756,TTC Hotel Premium-Angkor,TTC Group,"Vietnam-based TTC invests in 150 subsidiaries and TTC as the nucleus, together with 4 corporate segment in the industries of Real estate, Energy, Agriculture, Education and Hospitality. The subsidiaries and corporate segments stretch from central and central highland regions to Mekong Delta.",,,,,,,,Asia-Pacific,vietnam,Ho Chi Minh,Not Specified,Ho Chi Minh,Asia-Pacific,cambodia,Siem Reap,Not Specified,Siem Reap,,,Hotels & tourism,Accommodation,Tourism,Construction,263,Yes,179.0,Yes,New,Opened,"TTC Hotel Premium-Angkor sales manager Viet Sokny says that ""the Vietnamese tourist market has vast potential, and we hope to target them and other international tourists as well. We are linked to [the parent] company in Vietnam and cooperate to send each other guests.""",,,https://www.phnompenhpost.com/business/vn-company-opens-4-star-hotel-siem-reap,False,False,False,False,True,True,hotels_and_tourism_accommodation_construction,False,False,2018
224,2018-04-01,#304067,Kingsmen C.M.T.I.,Kingsmen C.M.T.I.,"Kingsmen C.M.T.I. Public Company Limited engages in interior design and decoration, and exhibition businesses in the Asia-Pacific and the Middle East. It offers retail and corporate interior services, including retail interiors, roll-outs, retail fixtures, corporate interiors, and restaurants; exhibitions and events, such as custom-designed stands, official shows, events, pavilions, suites and chalets, and rental services; thematic and museums comprising theme parks and attractions, galleries and visitor centers, and museums; and event management services. The company was founded in 1989 and is headquartered in Bangkok, Thailand.",www.kingsmen-cmti.com,,,,1989.0,marketing@kingsmen-cmti.com,+6627358000,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Business services,Specialised design services,Professional Services,Business Services,108,Yes,12.3,Yes,New,Announced,"Pravit Sribanditmongkol, managing director, ""Cambodia is one of the developing markets in south-east Asia with the most potential.""",,,http://www.nationmultimedia.com/detail/Corporate/30343278,False,False,False,False,True,True,business_services_specialised_design_services_business_services,False,False,2018
229,2018-04-01,#304717,Innity Corp Bhd,Innity Corp Bhd,"Innity Corporation Berhad, an investment holding company, provides interactive online marketing platforms and technologies for advertisers and publishers. Its interactive online marketing solutions include display advertising network, video advertising network, self-service advertising platform, performance and engagement based advertising, programmatic buying, and real-time bidding solutions.The company was founded in 1999 and is headquartered in Petaling Jaya, Malaysia.",www.innity.com,11.1,,,1999.0,sales@innity.com,+60378805611,Asia-Pacific,malaysia,Kuala Lumpur,Not Specified,Kuala Lumpur,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Software & IT services,"Software publishers, except video games",Creative Industries,"Sales, Marketing & Support",39,Yes,6.7,Yes,New,Opened,"Janus David, regional director, emerging markets, ""The Cambodian media scene has grown exponentially where the advertisers are now heavily including digital environments to their methods in marketing & advertising their brands.""",,,http://www.digitalmarket.asia/innity-enters-cambodia-market/,False,False,False,False,True,False,software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,False,False,2018
233,2018-04-01,#303864,Kameda Seika,Kameda Seika,"Kameda Seika is a Japan-based company mainly engaged in the manufacture and sale of snack products. The company operates in three business segments. The snack segment is engaged in the manufacture, package converting and sale of snack products. The freight transportation and storage segment provides transportation and storage services. The others segment is engaged in the sale and repair of automobiles, as well as the development and sale of computer software and the designing and supervision of equipment. As of March 31, 2010, the company had 11 subsidiaries and two associated companies. The company was founded in 1957.",www.kamedaseika.co.jp,889.71,3428.0,,1957.0,,+81253822111,Asia-Pacific,japan,Chubu,Niigata,Niigata,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Snack food,Agribusiness,Manufacturing,264,Yes,36.0,Yes,New,Announced,,,"Kameda Seika , Ly Ly Foods",https://asia.nikkei.com/Business/Companies/Cracker-maker-Kameda-Seika-to-set-up-joint-venture-in-Cambodia,False,False,False,True,False,False,food_and_beverages_snack_food_manufacturing,False,False,2018
235,2018-04-01,#304467,Jiangsu General Science Technology,Hongdou Group,"Hongdou Group Co.,Ltd. engages in the clothing, machinery, rubber, textile, printing and dyeing, biotechnology, real estate, and financial businesses. The company was founded in 1984 and is based in Wuxi, China.",www.hongdou.com,9.22,,,1984.0,jstongyong@ty-tire.com,+864006858183,Asia-Pacific,china,Jiangsu,Not Specified,Wuxi,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Rubber,Tyres,Transport Equipment,Manufacturing,1049,Yes,300.0,No,New,Announced,,,,https://www.yicaiglobal.com/news/jgst-set-singapore-unit-it-expands-across-southeast-asia,False,False,False,False,True,False,rubber_tyres_manufacturing,False,False,2018
241,2018-04-01,#301019,Evergreen Marine,Evergreen Marine,"Evergreen Marine, together with its subsidiaries, engages in marine transportation, shipping agency, and container distribution businesses. It provides cargo loading and discharging, terminal, and container shipping services; invests in transport-related business, container yards, and port terminals; and manufactures dry steel containers and container parts. It offers container loading, discharging, storage, repair, cleaning, and inspection services; and inland transportation, stevedoring, and logistics support services. In addition, the company provides agency services dealing with port formalities; leases real estate properties; and invests in and leases operating machinery and equipment of port terminals. The company was founded in 1968 and is headquartered in Taipei, Taiwan.",www.evergreen-marine.com,4879.85,3389.0,,1968.0,,+886225057766,Asia-Pacific,taiwan,Taipei,Not Specified,Taipei,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Water transportation,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,https://www.evergreen-marine.co.uk/tuf1/jsp/TUF1_News.jsp?newsType=G1&newsId=NEWS2018040900001594&lang=en,False,False,False,False,True,False,transportation_and_warehousing_water_transportation_sales_marketing_and_support,False,False,2018
248,2018-04-01,#319521,Taiwan Cooperative Bank,Taiwan Cooperative Financial Holding,"Taiwan Cooperative Financial Holding is a financial holding company. The company operates its businesses primarily through investment and management of its subsidiaries: Taiwan Cooperative Bank, Taiwan Cooperative Bills Financial Corporation, Taiwan Cooperative Securities, and others, which are involved in banking, bill finance, credit card, trust, insurance, security, future, venture capital and other financial activities. The company was established in 1946 and is headquartered in Taipei, Taiwan.",www.tcfhc.com.tw,8641.78,,,,,+886223118811,Asia-Pacific,taiwan,Taipei,Not Specified,Taipei,Asia-Pacific,cambodia,Siem Reap,Not Specified,Siem Reap,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,http://focustaiwan.tw/news/aeco/201811160012.aspx,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2018
249,2018-04-01,#319522,Taiwan Cooperative Bank,Taiwan Cooperative Financial Holding,"Taiwan Cooperative Financial Holding is a financial holding company. The company operates its businesses primarily through investment and management of its subsidiaries: Taiwan Cooperative Bank, Taiwan Cooperative Bills Financial Corporation, Taiwan Cooperative Securities, and others, which are involved in banking, bill finance, credit card, trust, insurance, security, future, venture capital and other financial activities. The company was established in 1946 and is headquartered in Taipei, Taiwan.",www.tcfhc.com.tw,8641.78,,,,,+886223118811,Asia-Pacific,taiwan,Taipei,Not Specified,Taipei,Asia-Pacific,cambodia,Preah Seihanu,Not Specified,Sihanoukville,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,http://focustaiwan.tw/news/aeco/201811160012.aspx,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2018
252,2018-04-01,#303992,Sumitronics (Cambodia),Sumitomo Group,"Sumitomo Group is an integrated trading company that operates in the metal products, transportation, construction, energy, electronics, chemicals, and other sectors. Sumitomo Group is based in Tokyo, Japan, and was established in 1919.",www.sumitomocorp.co.jp,43128.6,74920.0,,1919.0,,,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,cambodia,Banteay Meanchey,Not Specified,Poipet,Poipet Special Economic Zone,,Electronic components,Electrical equipment,ICT & Electronics,Manufacturing,120,No,11.0,No,Expansion,Opened,,,,Kyodo News,False,False,False,True,False,False,electronic_components_electrical_equipment_manufacturing,False,False,2018
259,2018-03-01,#300178,FGV Holdings (Felda Global Ventures Holdings),FELDA Holdings,"FELDA Holdings, through its subsidiaries, engages in palm oil business. The company provides plantation development and management, oil palm processing, replanting, agricultural and plantation advisory, and cattle rearing services, as well as produces, refines, markets and packages oil based products. It is also involved in breeding and trading biological assets; animal food production; and fresh meat and carcass supply. FELDA Holdings was founded in 1988 and is based in Kuala Lumpur, Malaysia. The company is one of several private corporate entities launched by the Federal Land Development Authority (FELDA).",www.fgvholdings.com/,3278.28,17100.0,,1988.0,gv.enquiries@feldaglobal.com,+60328590000,Asia-Pacific,malaysia,Kuala Lumpur,Not Specified,Kuala Lumpur,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Grains & oilseed,Agribusiness,Manufacturing,264,Yes,36.0,Yes,New,Announced,,,,http://www.theedgemarkets.com/article/we-can-live-without-european-union-%E2%80%94-fgv,False,False,False,False,True,False,food_and_beverages_grains_and_oilseed_manufacturing,True,False,2018
