#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
455,2017-10-01,#297948,Times Cargo Logistic,Times Cargo Logistic,"Times Cargo Logistic is a global logistics services provider. It was founded in 2010 and is based in Ho Chi Minh, Vietnam.",www.tcllogistic.com,,,,2010.0,,+842873056788,Asia-Pacific,vietnam,Ho Chi Minh,Not Specified,Ho Chi Minh,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,https://www.tcllogistic.com/news/cambodia-brand-opening,False,False,False,False,True,True,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
467,2017-09-01,#297955,Histar International,Histar International,"Histar International is a manufacturer of stationary products. It was founded in 2014 and is based in Qingdao, China",histarpencil.com,,,,2014.0,,+8653287906860,Asia-Pacific,china,Shandong,Not Specified,Qingdao,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,Phnom Penh Special Economic Zone,,Consumer products,Office supplies,Consumer Goods,Manufacturing,564,Yes,33.3,Yes,New,Announced,,,,http://www.ppsez.com/en/news/activities-announcements/346-new-land-lease-agreement-with-histar-international-limited-from-china.html,False,False,False,False,True,False,consumer_products_office_supplies_manufacturing,False,False,2017
468,2017-09-01,#284113,East-West Seed,East-West Seed,"East-West is a multinational vegetable seed producer with a leading market position in all major south-east and south Asian vegetable seed markets. It produces, develops and sells tropical hybrid vegetable seeds under the brand logo 'Red Arrow'. Started in 1982 in the Philippines, East-West has today operations in all major south-east and south Asian vegetable seed markets. The roots then and now remain unchanged; innovative breeding towards improved hybrid varieties that challenge existing market situations. The company is headquartered in Thailand.",www.eastwestseed.com,6.7,,,,inter@eastwestseed.com,+6628317777,Asia-Pacific,thailand,Central,Not Specified,Nonthaburi,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Grains & oilseed,Agribusiness,"Sales, Marketing & Support",45,Yes,19.0,Yes,New,Opened,,,,,False,False,False,False,True,True,food_and_beverages_grains_and_oilseed_sales_marketing_and_support,False,False,2017
471,2017-09-01,#285201,Nihon Seimitsu,Nihon Seimitsu,"Nihon Seimitsu Co., Ltd. manufactures and sells wristwatch bands, eyeglass frames, and other products in Japan. The company offers carbide ceramic and pure titanium wristwatch, metal, and urethane bands, as well as bezels. It also provides fishing tackles, static electricity eliminators, and electronic locks, as well as ion plating services. The company was founded in 1978 and is headquartered in Kawaguchi, Japan.",www.nihon-s.co.jp,,,,1978.0,,+81482255311,Asia-Pacific,japan,Kanto,Saitama,Kawaguchi,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Consumer products,Jewellery & silverware,Consumer Goods,Manufacturing,564,Yes,33.3,Yes,New,Opened,,,,,False,False,False,True,False,False,consumer_products_jewellery_and_silverware_manufacturing,False,False,2017
472,2017-09-01,#283814,Blackwell Global,Blackwell Global,"Blackwell Global offers brokerage solutions for private and institutional clients, along with other investments products. Blackwell Global is a straight-through-processing brokerage providing superior liquidity and price feeds from top international banks, 24-hour technical support, market research tools, educational materials, professional partnership programmes, and a fully-integrated Blackwell Trader platform to its clients. Founded in 2010, the company is headquartered in Auckland, New Zealand.",www.blackwellglobal.co.nz,,,,2010.0,info@blackwellglobal.co.nz,+6498016008,Asia-Pacific,new_zealand,Auckland,Not Specified,Auckland,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,,False,False,False,True,False,False,financial_services_corporate_and_investment_banking_business_services,False,False,2017
478,2017-08-01,#281830,Rahim & Co. Chartered Surveyors,Rahim & Co. Chartered Surveyors,"Rahim & Co Chartered Surveyors operates as a real estate and property consultancy company in Malaysia. It provides property valuation, research and advisory, property sales and leasing, property and facilities management, marketing, project management, auctioneering, and investment consultancy services. Rahim & Co Chartered Surveyors was founded in 1976 and is based in Kuala Lumpur, Malaysia.",www.rahim-co.com,,,,1976.0,kl@rahim-co.com,+60326919922,Asia-Pacific,malaysia,Kuala Lumpur,Not Specified,Kuala Lumpur,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Real estate,Real estate services,Professional Services,"Sales, Marketing & Support",75,Yes,20.5,Yes,New,Announced,,,,,False,False,False,False,True,False,real_estate_real_estate_services_sales_marketing_and_support,False,False,2017
483,2017-08-01,#283261,DHL Supply Chain,Deutsche Post,"Deutsche Post provides logistics and communications services. The company was founded in 1995 and is based in Bonn, Germany.",www.deutschepost.de,83286.9,587740.0,,1995.0,,+18772721054,Western Europe,germany,North-Rhine Westphalia,Cologne,Bonn,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",500,No,2.05,No,New,Announced,,,,,False,False,False,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2017
492,2017-08-01,#283067,Tokio Marine & Nichido Fire Insurance (TMNF),Tokio Marine Holding (Millea Holdings),"Tokio Marine Holdings, Inc., through its subsidiaries, engages in non-life insurance and life insurance businesses. It offers property and casualty, life, and reinsurance products. The company also provides various financial services, risk consulting, individual financial consulting services and business process outsourcing services. Additionally, it offers nursing care services under the Hyldemoer and Hutte brands. The company was formerly known as Millea Holdings and changed its name in 2008. Tokio Marine Holdings was founded in 2002 and is headquartered in Tokyo, Japan.",www.tokiomarinehd.com,48762.25,43050.0,,2002.0,,,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",240,Yes,43.5,Yes,New,Opened,,,,,False,False,False,True,False,False,financial_services_insurance_sales_marketing_and_support,False,False,2017
493,2017-08-01,#283207,Smart Axiata Company (Smart Mobile),Axiata Group (Telekom Malaysia) (TM International),"Axiata Group, an investment holding company, provides various telecommunication and network transmission related services. The company offers mobile telecommunication, passive infrastructure leasing, interconnect, leased, pay television transmission, and other data services; and telecommunication network capacity, infrastructure, and services. The company was formerly known as TM International and changed its name to Axiata Group in March 2009. Axiata Group was incorporated in 1992 and is headquartered in Kuala Lumpur, Malaysia.",www.axiata.com,5687.19,27000.0,,1992.0,888@smart.com.kh,+010201000,Asia-Pacific,malaysia,Kuala Lumpur,Not Specified,Kuala Lumpur,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Communications,Wireless telecommunication carriers,ICT & Electronics,ICT & Internet Infrastructure,120,Yes,51.8,Yes,New,Opened,,,,,False,False,False,False,True,False,communications_wireless_telecommunication_carriers_ict_and_internet_infrastructure,False,False,2017
495,2017-08-01,#283221,Diethelm Keller Siber Hegner (DKSH),Diethelm Keller Holding,"Diethelm Keller Holding, along with its subsidiaries, engages in marketing, brand management, logistics and travel businesses. The company provides sourcing, marketing, sales, distribution and aftersales services. It also offers marketing, brand building and distribution services for medium-sized enterprises. Diethelm Keller Holding was founded in 2000 as a result of a merger between Diethelm and Edward Keller. The company is headquartered in Zurich, Switzerland.",www.diethelmkeller.com,12160.0,0.0,,2000.0,,+41443867272,Western Europe,switzerland,Switzerland,Zurich,Zurich,Asia-Pacific,cambodia,Siem Reap,Not Specified,Siem Reap,,,Transportation & Warehousing,Freight/Distribution Services,Consumer Goods,"Logistics, Distribution & Transportation",151,Yes,89.9,Yes,Expansion,Opened,,,,,True,False,False,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2017
502,2017-08-01,#297938,Alfred Kaercher (Alfred Karcher),Alfred Kaercher (Alfred Karcher),"Alfred Karcher develops cleaning equipment, including carpet sweepers and pressure washers. Alfred Karcher was founded in 1935 and is based in Winnenden, Germany.",www.karcher.com,3164.32,0.0,,1935.0,info@karcher.com,+4907195140,Western Europe,germany,Baden-Wurttemberg,Stuttgart,Winnenden,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Consumer products,"Cosmetics, perfume, personal care & household products",Retail Trade,Retail,83,Yes,26.4,Yes,New,Opened,,,,http://www.phnom-penh.diplo.de/Vertretung/phnompenh/en/00__start/Er_C3_B6ffnung_20K_C3_A4rcher-en.html,False,False,False,True,False,False,consumer_products_cosmetics_perfume_personal_care_and_household_products_retail,False,False,2017
505,2017-07-01,#281183,Global Green Growth Institute,Global Green Growth Institute,"Global Green Growth Institute was established to create an international platform for evidence-based learning and policy innovation that helps to illuminate practical opportunities for country-led and industry-led progress on the twin imperatives of economic development and environmental sustainability. Through its developing country, industry and research activities, it seeks to serve as a bridge between developed and developing countries, the public and private sectors, and practitioners and scholars, respectively. The company was established in 2010 and is based in Seoul, South Korea.",www.gggi.org,24.812574,0.0,,2010.0,,+82220969991,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,cambodia,Kep,Not Specified,Not Specified,,,Renewable energy,Solar electric power,Environmental Technology,Electricity,31,Yes,341.4,Yes,New,Announced,,,,,False,False,False,False,True,False,renewable_energy_solar_electric_power_electricity,False,False,2017
511,2017-07-01,#282589,Grand Capital,Grand Capital,"Russia-based Grand Capital is a forex broker. The company was founded in 2006 and is based in Moscow, Russia.",grandcapital.net,284.461,0.0,,2006.0,info@grandcapital.net,+78123008196,Emerging Europe,russia,Central Federal District,Moscow (federal city),Moscow,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Announced,,,,,False,False,False,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2017
527,2017-06-01,#280485,National Healthcare Systems,Bangkok Dusit Medical Services (BGH),"Bangkok Dusit Medical Services engages in the hospital business in Thailand and internationally. The company owns and manages six hospital groups, including Bangkok Hospital Group, Samitivej Group, BNH Hospital, Phyathai Hospital Group, Paolo Memorial Hospital Group, and the Royal Hospital Group. It offers medical services in the areas of allergy and asthma, anesthesiology, anti-ageing, sports and exercise medicine, aviation medicine, bone and joint, dental, trauma and emergency, mental health rehabilitation and recovery, neurology, and spine. It was founded in 1969 and is based in Bangkok, Thailand.",www.bangkokhospital.com,1995.8,5788.0,,1969.0,,+6627624000,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Healthcare,Outpatient care centres & medical & diagnostic laboratories,Life sciences,Business Services,36,Yes,2.8,Yes,New,Announced,,,,,False,False,False,False,True,True,healthcare_outpatient_care_centres_and_medical_and_diagnostic_laboratories_business_services,False,False,2017
546,2017-06-01,#244806,Mobile World Investment Corporation,Mobile World Investment Corporation,"Mobile World Investment Corporation engages in trading, repair, and maintenance of phones in Vietnam. It offers phones, information technology equipment, cameras, digital equipment, electronic equipment, household appliances, and related accessories. The company was founded in 2004 and is headquartered in Ho Chi Minh, Vietnam.",www.thegioididong.com,,,,2004.0,investor@thegioididong.com,+84838125960,Asia-Pacific,vietnam,Ho Chi Minh,Not Specified,Ho Chi Minh,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Communications,Communications equipment,Retail Trade,Retail,35,Yes,2.0,Yes,New,Opened,,,,https://www.talkvietnam.com/2018/02/mwg-to-open-six-more-bigphone-stores-in-cambodia-this-year/,False,False,False,False,True,True,communications_communications_equipment_retail,False,False,2017
552,2017-05-01,#278132,Taisun,Taisun,"Taisun engages in the manufacture of disposable baby diapers, adult incontinent products and female sanitary products. The company markets its products under the brand UniDry, UniDry Super, Summed, Maeva, YoYo and Unifresh. It is based in Ho Chi Minh, Vietnam.",www.taisunholding.com,49.57,,,,,+84837908681,Asia-Pacific,vietnam,Ho Chi Minh,Not Specified,Ho Chi Minh,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,"Paper, printing & packaging",Converted paper products,Consumer Goods,Manufacturing,73,Yes,11.7,No,New,Announced,,,,,False,False,False,False,True,True,paper_printing_and_packaging_converted_paper_products_manufacturing,False,False,2017
564,2017-05-01,#297934,AIA Group (American International Assurance),AIA Group (American International Assurance),"AIA Group Limited provides various products and services for insurance, protection, savings, investment, and retirement needs of individuals and businesses. It offers life, pensions, and accident and health insurance products; savings and investment products; wealth management solutions; and employee benefits, credit insurance, and retirement services. The company distributes its products and services through direct marketing, agents, and bancassurance relationships primarily in Hong Kong, Thailand, Singapore, Malaysia, China, Korea, the Philippines, Indonesia, Vietnam, India, Australia, New Zealand, and Taiwan. American International Assurance was founded in 1919 and is headquartered in Central, Hong Kong.",www.aia.com,46780.0,23980.0,,1919.0,corpcomms@aia.com,+85228321800,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",240,Yes,43.5,Yes,New,Opened,"""We believe that Cambodia holds great potential as a life insurance market with its young and growing population, solid economic growth, expanding middle class and very low penetration rate of private life coverage."" - Ng Keng Hooi, chief executive officer.",,,http://www.aia.com/en/media-centre/press-releases/2017/aia-group-press-release-5-may-2017.html,True,False,False,False,True,False,financial_services_insurance_sales_marketing_and_support,False,False,2017
592,2017-03-01,#273097,VicPlas International,VicPlas International,"Vicplas International, an investment holding company, researches, designs, develops, manufactures, and assembles medical devices. It operates through two segments, pipes and pipe fittings, and medical devices. Vicplas International was founded in 1993 and is based in Singapore.",www.vicplas.com,53.88,,,1993.0,,+6562623888,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Plastics,"Plastic pipes, pipe fitting & unlaminated profile shapes",Industrial,Manufacturing,81,Yes,34.4,Yes,New,Announced,,,,,True,False,False,False,True,False,plastics_plastic_pipes_pipe_fitting_and_unlaminated_profile_shapes_manufacturing,False,False,2017
596,2017-03-01,#297942,Central Group of Companies,Central Group of Companies,"The Central Group of Companies engages in retailing, hotels and resorts, property, wholesaling, manufacturing and food franchise operations. Its activities include operating department stores, importing and distributing apparel, textiles, household electrical appliances, camera and music instruments, cosmetics and electric appliances. The company also engages in the development of hotels, department stores, shopping centres, condominiums and office buildings. The Central Group was founded in 1947 and is based in Bangkok, Thailand.",www.centralgroup.com,,,,1947.0,corporatecommunications@central.co.th,+6621009797,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Real estate,Commercial & institutional building construction,Construction,Construction,1259,Yes,265.7,Yes,New,Announced,,,,https://insideretail.asia/2017/03/17/thailands-central-group-set-to-build-mall-in-cambodia/,False,False,False,False,True,True,real_estate_commercial_and_institutional_building_construction_construction,False,False,2017
605,2017-03-01,#275351,Cambodia Brewery,Heineken Holding,"Heineken Holding supervises the management of the Heineken group. The company was established in 1952 and is based in Amsterdam, the Netherlands.",www.heinekenholding.com,24460.0,0.0,,1952.0,,+185523722683,Western Europe,netherlands,West Netherlands,Noord-Holland,Amsterdam,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,317,Yes,100.0,No,New,Opened,,,,,True,False,False,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,2017
609,2017-03-01,#297959,SVI (AEC),SVI,"SVI provides electronic manufacturing services. The company operates in two segments, industrial control system and niche products. The company serves industrial, automotive and transportation, medical, communications and networks, audio/video, and photonics and lighting markets. SVI was established in 1985 and is headquartered in Pathumthani, Thailand.",www.svi.co.th,,0.0,,1985.0,,,Asia-Pacific,thailand,Central,Not Specified,Pathum Thani,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,Phnom Penh Special Economic Zone,,Electronic components,All other electrical equipment & components,ICT & Electronics,Manufacturing,300,No,41.6,Yes,New,Opened,,Europe,,http://www.ppsez.com/en/news/activities-announcements/310-svi-launches-factory-in-phnom-penh-sez.html,False,False,False,False,True,True,electronic_components_all_other_electrical_equipment_and_components_manufacturing,False,False,2017
613,2017-02-01,#272200,Siam Cement,Siam Cement,"Siam Cement engages in chemicals, paper, cement, building materials, distribution, and investment businesses in Thailand and internationally. The company also has a joint venture with Sekisui Chemical to manufacture modular houses. The company is headquartered in Bangkok, Thailand, and was founded in 1913.",www.siamcement.com,14003.55,58280.0,,1913.0,,+6625863333,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,cambodia,Battambang,Not Specified,Not Specified,,,Building materials,Cement & concrete products,Construction,Manufacturing,166,Yes,103.6,Yes,New,Announced,,,,,False,False,False,False,True,True,building_materials_cement_and_concrete_products_manufacturing,False,False,2017
615,2017-02-01,#272580,Bank for Foreign Trade of Vietnam (Vietcombank),Bank for Foreign Trade of Vietnam (Vietcombank),"Vietcombank provides banking products and services for individuals, corporates, and financial institutions in Vietnam and internationally. The company accepts personal and savings accounts; and business accounts, such as current accounts, and time and special deposit products. Its loan products comprise personal loans; and short-term lending, working capital financing, project finance, and trade finance products. Vietcombank was founded in 1963 and is headquartered in Hanoi, Vietnam.",www.vietcombank.com.vn,1669.93,,,1963.0,,+84439343137,Asia-Pacific,vietnam,Ha Noi,Not Specified,Ha Noi,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Announced,,,,,False,False,False,False,True,True,financial_services_retail_banking_business_services,False,False,2017
622,2017-02-01,#273033,Mizuho Corporate Bank,Mizuho Financial Group,"Mizuho Financial Group provides various financial services through its subsidiaries. The group's services include general banking, securities brokerage, trust banking, and assets management. Mizuho Financial Group was founded in 2003 and is headquartered in Tokyo, Japan.",www.mizuho-fg.co.jp,17696.48,57260.0,,2003.0,,+81332141111,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Announced,"Cambodia occupies a key area along the 'Southern Economic Corridor', which connects Thailand and Vietnam, the two largest economies in the fast-growing Greater Mekong sub-region. Since the restoration of the monarchy in 1993, Cambodia has enjoyed political stability and a high level of GDP growth.",,,,False,False,False,True,False,False,financial_services_corporate_and_investment_banking_business_services,False,False,2017
