Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
538,539,2017-06-01,#278953,Sika,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+41584366800,Western Europe,switzerland,Switzerland,Zug,Baar,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Chemicals,"Paints, coatings, additives & adhesives",Construction,Manufacturing,332,Yes,276.3,Yes,New,Opened,"""By establishing a new concrete admixtures and mortar production plant in the metropolis of Dar es Salaam, we are gaining an early foothold as a local producer in this growth market,"" said Paul Schuler, regional manager (EMEA). Forecasts indicate that the Tanzanian construction sector is set to grow by just under 7% in 2017 and by 8% a year in the period up to 2025.",,,,True,False,False,True,False,False,chemicals_paints_coatings_additives_and_adhesives_manufacturing,False,False,2017
559,560,2017-05-01,#280147,Airtel Tanzania,Bharti Airtel,"Bharti Airtel, together with its subsidiaries, provides telecommunication systems and services worldwide. Its Mobile Services India segment offers voice and data telecom services.  The company's Telemedia Services segment provides voice and data communications based on fixed network and broadband technology. Its Tower Infrastructure Services segment engages in setting up, operating, and maintaining wireless communication towers. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was founded in 1995 and is headquartered in New Delhi, India.",www.airtel.in,14826.23,17491.0,,1995.0,helpdesk@tz.airtel.com,+255784103001,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Africa,tanzania,Dodoma,Not Specified,Dodoma,,,Communications,Communications equipment,Retail Trade,Retail,35,Yes,6.9,Yes,New,Opened,,,,,False,False,False,False,True,False,communications_communications_equipment_retail,False,False,2017
577,578,2017-04-01,#293301,Branch Media,Meta (Facebook),"Meta provides social networking and communications products. Its social media platforms include Facebook, Instagram, Messenger, and WhatsApp. The firm also offers Oculus virtual reality hardware and operates data centres. The company was established in 2004 and is headquartered in Menlo Park, California, US. On 28 October 2021, the company announced the rebranding of its corporate name from Facebook to Meta.",www.about.fb.com,117930.0,0.0,24655.0,2004.0,,,North America,united_states,California,San Mateo County (CA),Menlo Park (CA),Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Software & IT services,Internet publishing & broadcasting & web search,Creative Industries,"Sales, Marketing & Support",19,Yes,5.2,Yes,New,Opened,,,,https://asokoinsight.com/news/ifc-to-invest-3-million-in-mobile-phone-microlender-branch-kenya?utm_source=Asoko%20Insight%20-%20Africa%20Business%20Digest&utm_campaign=1184baed77-EMAIL_CAMPAIGN_2017_12_24&utm_medium=email&utm_term=0_7d19169446-1184baed77-425664345,False,False,False,True,False,False,software_and_it_services_internet_publishing_and_broadcasting_and_web_search_sales_marketing_and_support,False,False,2017
581,582,2017-04-01,#275639,Guaranty Trust Bank,Guaranty Trust Bank,"Guaranty Trust Bank provides various retail, corporate, and commercial banking services. It offers current accounts, savings deposits, time deposits, call accounts, domiciliary accounts, and fixed/tenured deposits. The company also provides private banking services, investment savings products, custody, credit and debit cards, customer loans, mortgages, direct debit facilities, overdrafts, loans and other credit facilities, foreign currency, and derivative products. Guaranty Trust Bank was incorporated in 1990 and is based in Lagos, Nigeria.",www.gtbank.com,1176.9,,,1990.0,enquiries@gtbank.com,+234700482666328,Africa,nigeria,Lagos State,Not Specified,Lagos,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,http://www.liquidafrica.com/tanzanian-central-bank-licenses-guaranty-trust-bank/,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2017
593,594,2017-03-01,#291520,Sinoma Cement,China National Materials Company,"China National Materials engages in cement and other non-metal materials manufacturing, non-metal materials technological equipping and engineering, and non-metal mining industries. The is company involved in the research, development, production, and sale of glass fibre, composite materials, artificial crystals, industrial ceramics and related products, concrete, and new wall materials; and exploration, design, technology development, equipment manufacturing, engineering, and general contracting of non-metal materials and glass, and building ceramics production lines. The company was founded in 1983 and is based in Beijing, China.",www.sinoma.cn,7026.3,,,1983.0,,+861088320186,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Africa,tanzania,Tanga,Not Specified,Tanga,,,Building materials,Cement & concrete products,Construction,Manufacturing,2291,Yes,1000.0,No,New,Announced,,"Tanzania and wider continent including Somalia, Kenya, Mozambique, Sudan, the Democratic Republic of Congo and Uganda.","Sinoma Cement, Hengya Group",http://www.globalcement.com/news/item/5861-sinoma-to-build-new-export-focused-cement-plant-in-tanzania,False,False,False,False,True,False,building_materials_cement_and_concrete_products_manufacturing,False,False,2017
607,608,2017-03-01,#296436,Mondo Ride,Mondo Ride,"Mondo Ride provides a ride-hailing platform. The application connects passengers with nearby drivers and is designed to provide ride-hailing services within a short amount of time, as well as, guaranteeing safety and comfort for the passenger. The company was founded in 2013 and is based in Nairobi, Kenya.",mondoride.com,,,,2013.0,,+254713156870,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Software & IT services,Internet publishing & broadcasting & web search,Transportation & Warehousing,"Sales, Marketing & Support",19,Yes,5.2,Yes,New,Opened,,,,http://www.cpifinancial.net/news/post/44117/mondo-ride-raises-5-million-to-drive-africa-expansion,False,False,False,False,True,True,software_and_it_services_internet_publishing_and_broadcasting_and_web_search_sales_marketing_and_support,False,False,2017
620,621,2017-02-01,#272962,ARM Cement (Athi River Mining),ARM Cement (Athi River Mining),"ARM Cement manufactures and sells cement in Kenya, Tanzania, South Africa, and Rwanda. It operates through Cement and Lime, and Other Products segments. The company is also involved in the mining and processing of industrial minerals and chemicals; trade of other building products; extraction and processing of limestone; and manufacture and sale of fertilisers and silicate liquid.  The company was formerly known as Athi River Mining and changed its name in July 2012. ARM Cement Limited was founded in 1974 and is based in Nairobi, Kenya.",www.armcement.com,143.198,,,1974.0,info@armcement.com,+254733636456,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,tanzania,Tanga,Not Specified,Tanga,,,Building materials,Cement & concrete products,Construction,Manufacturing,462,Yes,112.8,Yes,Expansion,Announced,,East Africa,,,False,False,False,False,True,True,building_materials_cement_and_concrete_products_manufacturing,False,False,2017
622,623,2017-02-01,#272918,Viettel Tanzania (Halotel),Viettel,"Viettel provides telecommunications services in Vietnam and internationally. Its services include mobile telecommunications, Internet, related media and technology services. Viettel is headquartered in Ha Noi, Vietnam, and was founded in 2004.",www.viettel.com.vn,11040.0,25000.0,,2004.0,info@halotel.co.tz,,Asia-Pacific,vietnam,Ha Noi,Not Specified,Ha Noi,Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Communications,Wireless telecommunication carriers,ICT & Electronics,ICT & Internet Infrastructure,33,Yes,100.0,No,New,Announced,,,,,False,False,False,False,True,False,communications_wireless_telecommunication_carriers_ict_and_internet_infrastructure,False,False,2017
631,632,2017-02-01,#272240,Podravka,Podravka,"Podravka operates as a diversified food and beverage company. The firm functions through several segments including food, beverages and pharmaceuticals. It was established in 1934 and is headquartered in Koprivnica, Croatia.",www.podravka.com,639.18,,,1934.0,podravka@podravka.hr,+38548651144,Emerging Europe,croatia,Croatia,Koprivnica-Krizevci,Koprivnica,Africa,tanzania,Pwani,Not Specified,Bagamoyo,,,Food & Beverages,Other (Food & Beverages),Agribusiness,Manufacturing,20,No,4.25541,No,New,Opened,"Tanzania imposed as the most favourable to start business in this market, due to its position, infrastructure, economy growth, but also its membership in trading associations.","African market including Tanzania, Kenya, Uganda and Zambia.",,,False,False,False,True,False,False,food_and_beverages_other_food_and_beverages_manufacturing,False,False,2017
632,633,2017-02-01,#272384,Equity Bank Tanzania,Equity Bank,"Kenya-based Equity Bank, together with its subsidiaries, primarily offers retail banking and microfinance services. Its personal banking products include current, equity ordinary, super junior investment and call and fixed deposit accounts. The company also offers business banking products and services comprising equity business and current accounts; business and development loans, agricultural loans, working capital loans, educational loans, medical loans, and salary advances. The company was founded in 1984 and is headquartered in Nairobi, Kenya.",ke.equitybankgroup.com,,0.0,,1984.0,infotz@equitybank.co.ke,+255768985555,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,tanzania,Zanzibar,Not Specified,Pemba Island,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,,False,False,False,False,True,True,financial_services_retail_banking_business_services,False,False,2017
642,643,2017-02-01,#280154,Airtel Tanzania,Bharti Airtel,"Bharti Airtel, together with its subsidiaries, provides telecommunication systems and services worldwide. Its Mobile Services India segment offers voice and data telecom services.  The company's Telemedia Services segment provides voice and data communications based on fixed network and broadband technology. Its Tower Infrastructure Services segment engages in setting up, operating, and maintaining wireless communication towers. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was founded in 1995 and is headquartered in New Delhi, India.",www.airtel.in,14826.23,17491.0,,1995.0,helpdesk@tz.airtel.com,+255784103001,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Africa,tanzania,Morogoro,Not Specified,Morogoro,,,Communications,Communications equipment,Retail Trade,Retail,35,Yes,6.9,Yes,New,Opened,,,,,False,False,False,False,True,False,communications_communications_equipment_retail,False,False,2017
659,660,2017-01-01,#280151,Airtel Tanzania,Bharti Airtel,"Bharti Airtel, together with its subsidiaries, provides telecommunication systems and services worldwide. Its Mobile Services India segment offers voice and data telecom services.  The company's Telemedia Services segment provides voice and data communications based on fixed network and broadband technology. Its Tower Infrastructure Services segment engages in setting up, operating, and maintaining wireless communication towers. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was founded in 1995 and is headquartered in New Delhi, India.",www.airtel.in,14826.23,17491.0,,1995.0,helpdesk@tz.airtel.com,+255784103001,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Africa,tanzania,Manyara,Not Specified,Not Specified,,,Communications,Communications equipment,Retail Trade,Retail,35,Yes,6.9,Yes,New,Opened,,,,,False,False,False,False,True,False,communications_communications_equipment_retail,False,False,2017
661,662,2017-01-01,#288326,Dazeworks,Dazeworks,"Dazeworks is a Salesforce consulting company. Its areas of expertise include Force.com services such as app development, integration with Salesforce.com and migration to Force.com as well as Salesforce.com services such as set-up, dedicated administrators, customisation, data, integration and support services. The company was founded in 2015 and is based in Pallippuram, India.",dazeworks.com,,,,2015.0,info@dazeworks.com,+914782554465,Asia-Pacific,india,Kerala,Not Specified,Pallippuram,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Software & IT services,Custom computer programming services,ICT & Electronics,Business Services,87,Yes,7.9,Yes,New,Opened,,,,http://dazeworks.com/contact-us/,False,False,False,False,True,False,software_and_it_services_custom_computer_programming_services_business_services,False,False,2017
