#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
425,2017-11-01,#297093,Nestle,Nestle,"Nestle provides nutrition, health, and wellness products worldwide. Its brands include Nestle Health Science, Nestle Nespresso, Nestle Purina Petcare and Nestle Waters. The company was founded in 1866 and is based in Vevey, Switzerland.",www.nestle.com,92196.44,0.0,1747.71,1866.0,,+41219241111,Western Europe,switzerland,Switzerland,Vaud,Vevey,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Food & Beverages,Other (Food & Beverages),Agribusiness,Manufacturing,79,Yes,25.0,No,New,Opened,,,,https://www.foodbusinessafrica.com/2017/11/25/nestle-myanmar-imports-to-reduce-by-50-once-new-factory-opens/,True,False,False,food_and_beverages_other_food_and_beverages_manufacturing,False,False,2017
426,2017-11-01,#297100,Diesel & Motor Engineering (DIMO),Diesel & Motor Engineering (DIMO),"Diesel & Motor Engineering (DIMO) imports, sells, and repairs passenger and commercial vehicles, material handling and construction machinery, agri and earth moving machinery, car parking systems, power tools, lamps, and batteries. Diesel & Motor Engineering was founded in 1939 and is headquartered in Colombo, Sri Lanka.",www.dimolanka.com,284.97,1649.0,,1939.0,dimo@dimolanka.com,+94112449797,Asia-Pacific,sri_lanka,Western,Not Specified,Colombo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Automotive OEM,All other transportation (Automotive OEM),Transport Equipment,"Sales, Marketing & Support",30,Yes,11.3,Yes,New,Opened,,,,http://www.dimolanka.com/news/dimo-opens-first-ever-overseas-facility-myanmar/,False,True,False,automotive_oem_all_other_transportation_automotive_oem_sales_marketing_and_support,False,False,2017
436,2017-10-01,#288393,JFE Steel,JFE Holdings,"JFE Holdings, through its subsidiaries, is engaged in steel, engineering, and trading businesses in Japan and internationally. The company's steel segment produces and sells a range of steel products, including sheets, plates, shapes and electrical sheets. Its engineering segment provides engineering services for energy, urban environment, recycle, steel construction, and industrial machines and systems. The company's trading segment purchases, processes, and sells steel products, raw materials for steel production, nonferrous metal products and food. JFE Holdings was founded in 2002 and is headquartered in Tokyo, Japan.",www.jfe-holdings.co.jp,33727.83,62083.0,,2002.0,,+81335973111,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Metals,Steel products,Construction,Manufacturing,293,Yes,88.4,No,New,Announced,,,"JFE Steel, Marubeni-Itochu Steel, JFE Shoji Trade, Hanwha",https://asia.nikkei.com/Japan-Update/JFE-Steel-to-build-Myanmar-sheet-factory-for-construction,True,False,False,metals_steel_products_manufacturing,False,False,2017
438,2017-10-01,#297142,Fujita,Daiwa House Industry,"Daiwa House Industry engages in the construction of residential and commercial buildings in Japan. The company also operates in the operation of resort hotels, sports life, and home centre businesses. The company, as of March 31, 2008, operated 30 resort hotels, 10 golf courses, 14 city type hotels, 49 fitness centres, and 47 home centres. Daiwa House Industry was founded in 1947 and is based in Osaka, Japan.",www.daiwahouse.co.jp,41509.04,47130.0,,1947.0,info@fujita.co.jp,+81334021911,Asia-Pacific,japan,Kansai,Osaka,Osaka,Asia-Pacific,myanmar,Ayeyarwady,Not Specified,Not Specified,,,Renewable energy,Biomass power,Environmental Technology,Electricity,31,Yes,168.3,Yes,New,Announced,,,"Myanmar Agribusiness Public Corporation (MAPCO), Fujita",http://tech.nikkeibp.co.jp/dm/atclen/news_en/15mk/110301689/?ST=msbe,True,False,False,renewable_energy_biomass_power_electricity,False,False,2017
447,2017-10-01,#287523,Ooredoo Myanmar,Ooredoo (Qatar Telecom),"Ooredoo, together with its subsidiaries, is a telecommunications company operating across the Middle East, North Africa and Southeast Asia. It provides mobile, fixed, broadband Internet and corporate managed services. The company operates in six segments, Qtel, Asiacell, Wataniya, Indosat, Nawras and Others. It offers domestic and international telecommunication services in Qatar, mobile telecommunication services in Iraq and mobile telephone and pager systems and services in Kuwait and other parts of the Middle East and North Africa. The company was formerly known as Qatar Telecom (Qtel) and changed its name to Ooredoo in March 2013. Ooredoo was founded in 1987 and is headquartered in Doha, Qatar.",www.ooredoo.qa,7930.494,18300.0,,1987.0,,+959970000234,Middle East,qatar,Qatar,Not Specified,Doha,Asia-Pacific,myanmar,Ayeyarwady,Not Specified,Not Specified,,,Communications,Wireless telecommunication carriers,ICT & Electronics,ICT & Internet Infrastructure,120,Yes,66.8,Yes,New,Opened,,,,https://www.telecompaper.com/news/ooredoo-expands-4g-network-to-7-townships-in-ayeyarwaddy-region--1216706,False,True,False,communications_wireless_telecommunication_carriers_ict_and_internet_infrastructure,False,False,2017
449,2017-10-01,#287088,Wacker,Wacker,"Wacker provides speciality chemical products worldwide. It operates through five divisions: Wacker Silicones, Wacker Polymers, Wacker Biosolutions, Wacker Polysilicon, and Siltronic. Through its subsidiaries, Wacker supplies silicon products used in the life sciences sector, in addition to various industrial applications. The company was founded in 1914 and is headquartered in Munich, Germany.",www.wacker.com/cms/en-gb/home/home.html,6649.89,14400.0,,1914.0,,+498962790,Western Europe,germany,Bavaria,Upper Bavaria,Munich,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Chemicals,"Paints, coatings, additives & adhesives",Physical Sciences,"Sales, Marketing & Support",17,Yes,2.8,Yes,New,Opened,"Wacker said its seventh office in south-east Asia, and 27th in Asia, would tap into the dynamic growth witnessed in Myanmar's economy",,,https://www.foodnavigator-asia.com/Article/2017/10/06/ingredient-firm-Wacker-opens-Myanmar-office,True,False,False,chemicals_paints_coatings_additives_and_adhesives_sales_marketing_and_support,False,False,2017
454,2017-10-01,#297847,D.B. Group,D.B. Group,"D.B. Group provides air, sea, and road freight forwarding and logistics services in Italy and internationally. D.B. Group was formerly known as De Bortoli Trasporti and changed its name to D.B. Group in 2007. The company was founded in 1950 and is based in Montebelluna, Italy.",www.dbgroup.net,,0.0,,1950.0,dbgroupspa@dbgroup.net,+3904236131,Western Europe,italy,Veneto,Treviso,Montebelluna,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,https://www.dbgroup.net/en/news/il-network-di-filiali-di-db-group-arriva-myanmar,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
457,2017-09-01,#284656,Ajinomoto,Ajinomoto,"Ajinomoto is a food and biotechnology company that operates through five segments: domestic food products, overseas food products, bioscience products and fine chemicals, pharmaceuticals, and business tie ups. The company also engages in wellness, packaging, logistics, and other service businesses. Ajinomoto was established in 1909 and is based in Tokyo, Japan.",www.ajinomoto.com,9705.94,0.0,,1909.0,,+81352508111,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Food & Beverages,Other (Food & Beverages),Agribusiness,Manufacturing,70,Yes,22.0,No,Expansion,Announced,,,,,True,False,False,food_and_beverages_other_food_and_beverages_manufacturing,False,False,2017
460,2017-09-01,#285582,Shining Star International Holdings,Shining Star International Holdings,"Shining Star International Holdings Limited, through its subsidiaries, engages in the business fields of real estate, commerce, hotel, education, health, decoration, sports, tourism, property management, etc. The company provides property management and business services; education investment and management, educational equipment and uniforms selling, and medical services; accommodation, hotel management, catering, and cigarette retail services; investment consulting and real estate development services; engineering management and supervision, technology consulting, and property management services; construction material selling and consulting services; and golf course construction and operation services. It also engages in the activities of business operation and management, exhibition, leashing, etc.; project investment and management, real estate development, import and export, etc.; interior decoration design and construction, landscaping design and construction, etc.; entertainment, apparatus selling, trade, etc.; real estate broker, business invitation, activity planning, etc.; real estate development and management of supporting facilities, gyms, etc.; and furniture production, management consulting, marketing plan, etc. The company was founded in 1993 and is headquartered in Hong Kong.",http://www.sinyaoo.com/,,,,1993.0,,+852087167375333,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,Mandalay Industrial Zone,,Automotive OEM,Automobiles,Transport Equipment,Manufacturing,1062,Yes,37.0,Yes,New,Announced,,,,,False,True,False,automotive_oem_automobiles_manufacturing,False,False,2017
461,2017-09-01,#285286,Indian Oil Corporation (IOC),Indian Oil Corporation (IOC),"Indian Oil Corporation (IOC), together with its subsidiaries, engages in refining, transporting, and marketing petroleum products in India. It is also involved in the exploration and production of crude oil and gas. The company also exports its products serving the consumer, industrial and marine sectors. The company was founded in 1959 and is based in New Delhi, India.",www.iocl.com,67690.0,0.0,,1959.0,,+911126260000,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,"Coal, oil & gas",Other petroleum & coal products,Energy,"Sales, Marketing & Support",9,Yes,5.8,Yes,New,Announced,,,,,False,True,True,coal_oil_and_gas_other_petroleum_and_coal_products_sales_marketing_and_support,False,False,2017
463,2017-09-01,#285381,Kian Joo Can Factory,Kian Joo Can Factory,"Kian Joo Can Factory engages in the manufacture and distribution of tin cans in Malaysia, Vietnam, Singapore, and internationally. The company offers two-piece aluminium cans, two-piece DWI steel cans, three-piece beverage cans, dry food cans, confectionery cans, paint cans, edible oil cans, processed food cans, pet bottles, motor oil cans, corrugated carton boxes, battery jackets, aerosol cans, chemical cans, culinary/margarine cans, sweetened condensed milk cans, ink cans, pineapple cans, two-piece processed food cans, and mooncake cans; and can ends, such as full aperture, peel off, and easy-opening can ends. The company was founded in 1956 and is based in Batu Caves, Malaysia.",www.kianjoocan.com.my,341.78,,,,,+60361896322,Asia-Pacific,malaysia,Selangor,Not Specified,Batu Caves,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Metals,Alumina & aluminium production and processing,Agribusiness,Manufacturing,331,Yes,100.0,No,New,Announced,,,,,False,True,False,metals_alumina_and_aluminium_production_and_processing_manufacturing,False,False,2017
475,2017-09-01,#294331,Cardno,Cardno,"Cardno is an infrastructure and environmental services company, which provides professional services in the development and improvement of physical and social infrastructure for communities worldwide. The company offers a range of integrated services in the market sectors of buildings, land, coastal and ocean, environment, emerging markets, management services, mining and energy, transportation, water, and defense. Its services include technical and economic feasibility studies of a project; planning services consisting of statutory planning, urban development, master planning and design, mapping and surveying, and transportation planning; environmental consulting in the areas of natural systems assessment and management, environmental impact assessment and monitoring, agricultural development, climate change management, conservation, and rehabilitation; and engineering design of functional structures, spaces, and systems. The company's services also comprise project management services for the delivery and maintenance of infrastructure and development works; construction management services consisting of construction administration, construction and demolition, construction materials testing and inspections, and subsurface utility engineering; asset management, facilities management, and infrastructure services; management consulting; and development assistance. In addition, offers software solutions for engineers and planners in a range of industries. Cardno was founded in 1945 and is headquartered in Fortitude Valley, Brisbane, Australia.",www.cardno.com,905.754,,,1945.0,,+61733699822,Asia-Pacific,australia,Queensland,Not Specified,Brisbane,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Architectural, engineering, & related services",Professional Services,Business Services,11,Yes,12.3,Yes,New,Opened,,,,http://www.cardno.com/en-au/mediacentre/Pages/New-Cardno-Yangon-office-space-supports-our-continued-growth-in-Myanmar.aspx,True,False,False,business_services_architectural_engineering_and_related_services_business_services,False,False,2017
482,2017-08-01,#283259,DHL Supply Chain,Deutsche Post,"Deutsche Post provides logistics and communications services. The company was founded in 1995 and is based in Bonn, Germany.",www.deutschepost.de,83286.9,587740.0,,1995.0,,+18772721054,Western Europe,germany,North-Rhine Westphalia,Cologne,Bonn,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",500,No,94.9,Yes,New,Announced,,,,,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2017
499,2017-08-01,#294338,Silamas Group,Silamas Group,"The Silamas Group is a company providing services such as studies, engineering, lifting and relocation of infrastructure components. It's main business is heavy haulage, lifting and installation. The principal industries served are power, energy, oil, gas, petrochemical, mining, cement, steel, infrastructure and many others. It is an asset-based company owning a large number of specialized trucks, trailers, lifting and installation equipment. They are one of the largest heavy lift contractors in south-east Asia and the firm is based in Samut Prakan, Thailand.",,,,,,service@silamas.com,+66908808200,Asia-Pacific,thailand,Central,Not Specified,Samut Prakan,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Truck transportation,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,https://www.breakbulk.com/news-silamas-expands-myanmar/,False,True,True,transportation_and_warehousing_truck_transportation_sales_marketing_and_support,False,False,2017
500,2017-08-01,#297133,Grand Capital,Grand Capital,"Russia-based Grand Capital is a forex broker. The company was founded in 2006 and is based in Moscow, Russia.",grandcapital.net,284.461,0.0,,2006.0,info@grandcapital.net,+78123008196,Emerging Europe,russia,Central Federal District,Moscow (federal city),Moscow,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,https://grandcapital.net/about/company_news/grand-capital-opened-representative-office-myanmar/,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2017
501,2017-08-01,#297131,Nippon Express (Myanmar),Nippon Express,"Nippon Express, through its subsidiaries, provides logistics services. The company was founded in 1872 and is headquartered in Tokyo, Japan.",www.nittsu.co.jp,1961.0,73549.0,,1872.0,,+951375651,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Kayin State (Karen),Not Specified,Myawaddy,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,Cross-border truck transport between Myanmar and Thailand is expected to rise in future.,,,http://www.nipponexpress.com/news/global/2017/29-Aug-17.html,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
507,2017-07-01,#281517,China Oil and Foodstuffs (COFCO),China Oil and Foodstuffs (COFCO),"China Oil and Foodstuffs (COFCO), together with its subsidiaries, provides diversified products and services in the agricultural products and food industry in China. It is engaged in the cultivation of wheat, rice, soybeans, grapes, sugar cane, tomatoes, and tea products; and poultry and dairy breeding activities. The company was founded in 1949 and is based in Beijing, China.",www.cofco.com,82548.2,,,1949.0,cofcoinfo@cofco.com,+861085006688,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Grains & oilseed,Agribusiness,"Logistics, Distribution & Transportation",255,Yes,47.8,Yes,New,Announced,,,,,False,True,True,food_and_beverages_grains_and_oilseed_logistics_distribution_and_transportation,False,False,2017
514,2017-07-01,#281625,Saigon Plant Protection,Saigon Plant Protection,"Saigon Plant Protection manufactures, processes, and trades pesticides. Its products include insecticides, herbicides, fungicides, and chemical fertilisers. Saigon Plant Protection was founded in 1989 and is based in Ho Chi Minh City, Vietnam.",www.spchcmc.vn,36.22,,,1989.0,spchcmc@hcm.vnn.vn,+84838733666,Asia-Pacific,vietnam,Ho Chi Minh,Not Specified,Ho Chi Minh,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Chemicals,"Pesticide, fertilisers & other agricultural chemicals",Agribusiness,"Sales, Marketing & Support",17,Yes,2.8,Yes,New,Opened,,,,,False,True,False,chemicals_pesticide_fertilisers_and_other_agricultural_chemicals_sales_marketing_and_support,False,False,2017
518,2017-07-01,#327969,Tribe Theory,Tribe Theory,"Tribe Theory develops business-friendly hostel accommodation, designed to cater to the travelling startups, creative and entrepreneurial community. It was founded in 2018 and is based in Singapore.",tribetheory.com,,,,2018.0,contact@tribetheory.com,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Hotels & tourism,Accommodation,Tourism,Construction,263,Yes,179.0,Yes,New,Opened,,,,https://e27.co/hostel-startup-tribe-theory-secures-us739165-seed-funding-from-aurum-investments-20190314/,False,True,False,hotels_and_tourism_accommodation_construction,False,False,2017
522,2017-06-01,#279142,SC Auto,SC Auto,SC Auto is a bus manufacturer. The company is headquartered in Singapore and was founded in 1998.,www.scauto.com.sg,,,,1998.0,,+6567582222,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Automotive OEM,Heavy duty trucks,Transport Equipment,Manufacturing,115,Yes,21.8332,No,New,Announced,"Chairperson Tan Siow Chua said: ""With its demand for public transport, proximity to emerging south-east Asian countries, as well as availability of land and relatively lower labour costs, Myanmar is the ideal location for our first venture overseas.""",Mynamar and south-east Asia,,,False,True,False,automotive_oem_heavy_duty_trucks_manufacturing,False,False,2017
