Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
514,515,2017-07-01,#281017,Ontex,Ontex,"Ontex engages in the development, production, and sale of hygienic disposables worldwide. It offers a range of feminine hygiene products, such as sanitary towels, panty liners, and tampons; baby products, which include nappies and wipes; and incontinence products; and adult products, such as light inco, pull-ups, belt diaper, all in one, shaped pads, and bed protection. The company was established in 1979 and is based in Aalst, Belgium.",www.ontexglobal.com/,2206.58,9000.0,11.76,1979.0,,+3253333600,Western Europe,belgium,Flemish Region (Flanders),East Flanders,Buggenhout,Africa,ethiopia,"Southern Nations, Nationalities, and Peoples Region",Not Specified,Awasa,,,"Paper, printing & packaging",Converted paper products,Consumer Goods,Manufacturing,171,Yes,48.4,Yes,New,Opened,,Africa,,,True,False,False,True,False,False,paper_printing_and_packaging_converted_paper_products_manufacturing,False,False,2017
515,516,2017-07-01,#284911,Carvico,Carvico,"Carvico manufactures warp-knitted stretch fabrics. The company produces a large variety of fabrics for clothing manufacturers worldwide. It was established in 1962 and is headquartered in Carvico, Italy.",www.carvico.com,116.96,,,1962.0,,+3935780111,Western Europe,italy,Lombardia,Bergamo,Carvico,Africa,ethiopia,Amhara,Not Specified,Kombolcha,Kombolcha Industrial Park free zone,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Opened,,,,http://www.investethiopia.gov.et/information-center/news-and-events/482-industrial-parks-luring-more-investment-jobs,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2017
525,526,2017-06-01,#279794,ZTE,ZTE,"ZTE, together with its subsidiaries, is engaged in the design, development, production, distribution, and installation of various telecommunications systems and equipment in China, Asia, Africa, Europe, the Americas, and Oceania. It operates in three segments: networks (communication systems); terminals; and telecommunications software systems, services and other products. ZTE was founded in 1985 and is headquartered in Shenzhen, China.",www.zte.com.cn,12815.31,68240.0,1540.92,1985.0,ZTE.press.release@zte.com.cn,+8675526770000,Asia-Pacific,china,Guangdong,Not Specified,Shenzhen,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Communications,Communications equipment,ICT & Electronics,Research & Development,5,Yes,1.49543,No,New,Announced,,,"ZTE, Ethio Telecom",,False,False,False,False,True,False,communications_communications_equipment_research_and_development,False,False,2017
541,542,2017-06-01,#281975,ZEP-RE (PTA Reinsurance Company),Eastern and Southern African Trade and Development Bank (PTA Bank),"The Eastern and Southern African Trade and Development Bank (PTA Bank) provides a range of financial services to businesses and enterprises. The company offers project and infrastructure finance and participates in the investment of government securities and other non-listed equity investments. It also offers insurance and real estate rental services. PTA Bank was founded in 1985 and is headquartered in Bujumbura, Burundi.",www.ptabank.org,46.05,,,1985.0,,+254202738221,Africa,burundi,Bujumbura Mairie,Not Specified,Bujumbura,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",83,Yes,10.8,Yes,New,Opened,,,,,False,False,False,False,True,False,financial_services_insurance_sales_marketing_and_support,False,False,2017
543,544,2017-06-01,#296369,Hela Clothing,Monitane Holdings,"Monitane Holdings, through its subsidiaries, sells branded and own-label clothing. The company was incorporated in 2003 and is based in Dunstable, UK",,,,,2003.0,info@helaclothing.com,+94114324393,Western Europe,united_kingdom,East of England,Bedfordshire,Dunstable,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,800,No,22.2,Yes,New,Opened,,,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/592-hela-clothing-ships-one-millionth-garment-from-ethiopia.html,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2017
547,548,2017-05-01,#277928,Raymond Group,Raymond Group,"Raymond Group manufactures and sells worsted fabrics in India and internationally. The company offers pure-wool, wool-blended, and premium polyester viscose worsted suiting; suiting using wool, polyester, and other specialty fibres, such as cashmere, angora, alpaca, pure silk, linen; denim and shirting fabrics; suits, jackets and trousers, jeans wear, and formal shirts; carded woollen shawls and blankets; home, auto, and institutional furnishings; and corporate wear. Raymond Group was founded in 1925 and is headquartered in Mumbai, India.",www.raymondindia.com,424.76,,,1925.0,corporate.communications@raymond.in,+912240349999,Asia-Pacific,india,Maharashtra,Not Specified,Mumbai,Africa,ethiopia,"Southern Nations, Nationalities, and Peoples Region",Not Specified,Awasa,,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Announced,,,,,False,False,False,False,True,False,textiles_textiles_and_textile_mills_manufacturing,False,False,2017
548,549,2017-05-01,#277934,Wuxi Jinmao Foreign Trade,Wuxi Jinmao Foreign Trade,"Wuxi Jinmao Foreign Trade designs, manufactures, and distributes apparel products. The company produces men clothes, women clothes, children clothes, and other related products. It is based in Wuxi, China.",,,,,1993.0,,+8651082797787,Asia-Pacific,china,Jiangsu,Not Specified,Wuxi,Africa,ethiopia,"Southern Nations, Nationalities, and Peoples Region",Not Specified,Awasa,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Announced,,,,,False,False,False,False,True,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2017
552,553,2017-05-01,#277916,Arvind Ltd (Arvind Mills),Arvind Ltd (Arvind Mills),"Arvind primarily manufactures and sells fabrics worldwide. It operates through Textiles, Brands and Retail, Real Estate, and Other segments. It also offers denim; woven and knit fabrics; and high performance industrial fabrics for sectors, such as general industrial manufacturing and processing, infrastructure, transport, energy, and personal protection under the Mainstream, Excalibur Gant, and Flying Machine brand names, as well as under licenses and other branded products. The company was founded in 1931 and is based in Ahmedabad, India.",www.arvind.com,,,,1931.0,,+917930138000,Asia-Pacific,india,Gujarat,Not Specified,Ahmedabad,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Announced,,,,,False,False,False,False,True,False,textiles_textiles_and_textile_mills_manufacturing,False,False,2017
553,554,2017-05-01,#277922,Sarasavi Exports,Sarasavi Exports,"Sarasavi Exports engages in the design, manufacture, and sale of socks and tights for men, ladies, and children. The company was founded in 1991 and is based in Pannipitiya, Sri Lanka.",,,,,1991.0,,+94112855023,Asia-Pacific,sri_lanka,Western,Not Specified,Colombo,Africa,ethiopia,"Southern Nations, Nationalities, and Peoples Region",Not Specified,Awasa,,,Textiles,Apparel accessories & other apparel,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Announced,,,,,False,False,False,False,True,False,textiles_apparel_accessories_and_other_apparel_manufacturing,False,False,2017
573,574,2017-04-01,#276898,Direct Pay Online,Direct Pay Online,"Direct Pay Online is a global e-commerce and online shopping services provider. The company provides online facilities supporting real-time shopping and payments, including multi card, multi currency, mobile, cross border and PayPal services. It was established in 2006 and is headquartered in Nairobi, Kenya.",www.directpay.online,,,,2006.0,info@directpay.online,+254708480275,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Software & IT services,"Software publishers, except video games",Financial Services,"Sales, Marketing & Support",19,Yes,5.2,Yes,New,Opened,,,,,False,False,False,False,True,True,software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,False,False,2017
596,597,2017-03-01,#273211,Asoko Insight,Asoko Insight,"Asoko Insight is a market intelligence and information services firm. It provides up-to-date management information, profiles, insights and data on unlisted companies across Africa to investors, global corporates and other African companies. The company was founded in 2013 and is headquartered in London, UK.",asokoinsight.com,,,,2013.0,info@asokoinsight.com,,Western Europe,united_kingdom,South East (UK),Greater London,London,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Business services,"Professional, scientific & technical services",Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,,,,,False,False,False,True,False,False,business_services_professional_scientific_and_technical_services_business_services,False,False,2017
626,627,2017-02-01,#272134,Boortmalt,Axereal,"Axereal collects and sells grain, as well as oilseed in France and internationally. It processes grain into flour, malt, and animal feed. The company's activities include propagation, farm production, analyses, storage, batching, product trade and marketing, and road, rail, river, and maritime logistics. Axereal was founded in 2009 and is based in Olivet, France.",www.axereal.com,1219.847,0.0,,2009.0,info@boortmalt.com,+3235450411,Western Europe,france,Centre-Val de Loire,Loiret,Olivet,Africa,ethiopia,Amhara,Not Specified,Debre Berhan,Debre Birhan Industrial Park,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,300,No,58.57,No,New,Announced,,,,http://www.axereal.com/en/boortmalt-antwerp-becomes-worlds-largest-malting-plant,False,False,False,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,2017
640,641,2017-02-01,#272818,The Energy Group,The Energy Group,"The Energy Group engages in the design, manufacture and installation of  an emission control and fuel solution device designed to reduce energy usage without affecting performance. The company was established in 1989 and is headquartered in Little Falls, New Jersey, United States.",www.energy-group.com,,,,1989.0,info@energy-group.com,+19739428628,North America,united_states,New Jersey,Passaic County (NJ),Totowa (NJ),Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Automotive components,Motor vehicle gasoline engines & engine parts,Transport Equipment,"Sales, Marketing & Support",16,Yes,1.8,Yes,New,Opened,,,,,False,False,False,True,False,False,automotive_components_motor_vehicle_gasoline_engines_and_engine_parts_sales_marketing_and_support,False,False,2017
645,646,2017-01-01,#269606,Everest Textile,Everest Textile,"Everest Textile manufactures and sells textile products. It engages in spinning, twisting, weaving, dyeing, finishing, printing, coating, and laminating yarns. The company offers eco material, technical fashion and causal, soft shell, stretch, air pass, multi-functional membrane, multi-functional fibre, protective fabric and medical material, and knitting fabrics. Its fabrics are used in sports, outdoor, city, casual, industrial materials, etc. Everest Textile was founded in 1988 and is headquartered in Tainan, Taiwan.",www.everest.com.tw,252.05,,,1988.0,,+88665782561,Asia-Pacific,taiwan,Tainan,Not Specified,Tainan,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Announced,,Europe,,,False,False,False,False,True,False,textiles_textiles_and_textile_mills_manufacturing,False,False,2017
